,Videos,Videotitel,Veröffentlichungszeitpunkt des Videos,Klicks auf Abspannelement,Klicks auf Infokartenteaser,Klicks auf Infokarte,Geteilte Inhalte,Kommentare hinzugefügt,„Mag ich“ und „Mag ich nicht“ im Vergleich (%),„Mag ich nicht“-Bewertungen,Likes,Verlorene Abonnenten,Gewonnene Abonnenten,Durchschnittliche Wiedergabedauer in Prozent (%),Im Feed angezeigt,Aufrufe,Wiedergabezeit (Stunden),Geschätzter Umsatz (EUR),Durchschnittliche Wiedergabedauer,Impressionen,Klickrate der Impressionen (%)
381,oar58icxNls,Deutschlandweites Messerverbot tritt in Kraft - Kontrolle obliegt nun Polizei | ntv,2024-11-01,37.0,3.0,3.0,79.0,150.0,57.07,85.0,113.0,0.0,5.0,58.27,0.0,10914.0,183.7062,15.341,0:01:00,193145.0,3.65
382,E7f6E03mqxQ,"""Stimmung war sehr gefasst"" - Grünen-Noch-Chef zum Ampel-Ende | ntv",2024-11-07,36.0,2.0,0.0,11.0,114.0,53.15,52.0,59.0,2.0,3.0,24.66,0.0,10947.0,344.1849,12.73,0:01:53,287369.0,1.46
383,5D1cWdr8S_k,"Union baut Führung aus, AfD dahinter, FDP wäre raus  | ntv Trendbarometer",2024-09-24,35.0,2.0,0.0,20.0,128.0,75.9,74.0,233.0,0.0,19.0,12.91,0.0,58863.0,1992.1016,67.586,0:02:01,344925.0,5.06
384,ZZDtF-6sDPI,"Scholz entlässt Lindner, ""um Schaden vom Land abzuwenden"" - Statement in ganzer Länge  | ntv",2024-11-07,35.0,3.0,3.0,164.0,160.0,64.52,44.0,80.0,0.0,7.0,33.21,0.0,7345.0,581.4456,24.835,0:04:44,152231.0,3.27
385,acUOvyt9PtU,"Thiele: BND-Warnung ""ist zum Teil eine Nebelkerze"" - Russische Angriffe auf die NATO? | ntv",2024-11-28,35.0,0.0,0.0,7.0,28.0,67.27,18.0,37.0,1.0,4.0,52.38,0.0,2669.0,86.9961,6.989,0:01:57,51358.0,3.07
386,eg5jqMClUFk,"""Grüne haben offenbar Orientierungs-Debatten-Bedarf"": FDP-Vizechef im Frühstart | ntv",2024-09-26,35.0,0.0,0.0,24.0,162.0,70.8,66.0,160.0,0.0,21.0,31.3,0.0,19021.0,859.9841,39.639,0:02:42,708098.0,1.64
387,s3oEn3PgMN4,Wahlkampf im Katastrophengebiet: Biden plant Reise in Hurrikane-Region - Trump schon da | ntv,2024-10-01,35.0,0.0,0.0,17.0,22.0,88.89,4.0,32.0,0.0,2.0,67.08,0.0,2549.0,50.3479,3.384,0:01:11,44430.0,3.5
388,MALHN0gBdr4,"FDP-General zu Steuerplänen der SPD: ""Halte gar nichts davon"" -  Djir-Sarai im Frühstart  | ntv",2024-10-15,34.0,1.0,0.0,11.0,43.0,79.61,21.0,82.0,0.0,10.0,30.74,0.0,8816.0,316.1573,15.091,0:02:09,345370.0,1.25
389,cV0BD3wWhGw,Wie das Trump-Lager mit Klagen die Wahl manipuliert - USA rüsten sich für wilde Tage  | ntv,2024-11-05,34.0,0.0,0.0,12.0,25.0,68.49,23.0,50.0,1.0,5.0,44.01,0.0,3322.0,102.3397,4.748,0:01:50,50771.0,4.4
390,Lo9xK-I2iAk,"Russin: Moskaus ""Soldaten sind einfach abgehauen"" | ntv",2024-08-15,33.0,0.0,0.0,2.0,0.0,80.0,-1.0,-4.0,0.0,1.0,56.84,0.0,2828.0,41.9708,2.615,0:00:53,28850.0,6.74
