Videos;Videotitel;Veröffentlichungszeitpunkt des Videos;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Geteilte Inhalte;Kommentare hinzugefügt;„Mag ich“ und „Mag ich nicht“ im Vergleich (%);„Mag ich nicht“-Bewertungen;Likes;Verlorene Abonnenten;Gewonnene Abonnenten;Durchschnittliche Wiedergabedauer in Prozent (%);Im Feed angezeigt;Aufrufe;Wiedergabezeit (Stunden);Geschätzter Umsatz (EUR);Durchschnittliche Wiedergabedauer;Impressionen;Klickrate der Impressionen (%);Länge des Videos (sek);Thema;Bewertung Titel;Gestaltung Thumbnail
d9hkkoS0vX4;"""Nähern uns Kulminationspunkt"" - Reisner: Aktuelle russische Angriffe haben drei Absichten | ntv";01.01.2024;8830;0;0;5550;7480;8502;6760;38370;70;2740;5141;0;2716290;131878399;176;00:02:54;48536650;378;;;;
HqWCoADUK7k;Angriff im Wahlkampf in Südkorea: Attentäter sticht Politiker vor laufender Kamera in Hals | ntv;02.01.2024;10;0;0;0;0;1000;0;10;0;0;5921;0;350;4605;32;00:00:47;1520;1974;;;;
RYohTnnTqVY;"""Oh Gott!"" - Tetris durchgespielt? - 13-Jähriger bringt Kultgame zum Absturz - bei Level 157 | ntv";03.01.2024;1370;0;0;770;20;8889;40;320;0;20;6291;0;91390;122974;14523;00:00:48;267520;2144;;;;
b352sN63G5k;Hechtsprung aus heiterem Himmel - Angeklagter greift Richterin an | ntv;04.01.2024;30;0;0;60;0;1000;0;10;0;0;5683;0;1920;44251;392;00:01:22;8790;1627;;;;
qmCAZUiwwdA;Angriff auf Arzt und Pfleger: Video hält Angriff in Berliner Krankenhaus fest | ntv;04.01.2024;10;0;0;140;0;1000;0;20;0;0;6685;0;1590;22438;24;00:00:50;6850;1139;;;;
tl-MBWTxmm4;Unterstützer und Nutznießer AfD: Wie rechte Gruppen die Bauern-Proteste unterwandern | ntv;05.01.2024;3200;0;0;4850;17930;4246;14960;11040;160;1020;5988;0;1024190;22656743;24;00:01:19;11958140;615;;;;
cILB6VUrl-I;"""Die AfD besteht aus lichtscheuen Gesellen"" - Augstein und Blome zu Parteiverbot | ntv #Gegenverkehr";05.01.2024;170;0;0;80;10;4000;-60;80;0;40;5633;0;7320;24627;1567;00:02:01;60160;733;;;;
C_ugY-dXuAY;"Abschied mit brechender Stimme - Merz: Ohne Schäuble ""stünde ich heute nicht hier"" | ntv";05.01.2024;10;0;0;10;10;1000;0;20;0;0;3576;0;4120;201741;1238;00:02:56;38120;816;;;;
uYhTT3OXDLE;Vizekanzler zur Umkehr gezwungen - Tumult an Habecks Fähre: Videos zeigen Bauern-Ansturm | ntv;05.01.2024;5420;0;0;6080;14540;8577;2780;16760;30;840;5841;0;1311470;24896978;32;00:01:08;35354610;274;;;;
QV68QwTRsss;"""Protest für Umsturzpläne nutzen"" - Von Lucke zur Unterwanderung der Bauern durch Rechte | ntv";08.01.2024;2340;0;0;1910;11480;3141;14610;6690;80;680;5495;0;549410;25913515;5;00:02:49;12912690;32;;;;
Gg32aueLbRs;Unwahrscheinlich, dass die Regierung nachgibt - ntv-Reporterin Kuhnert zu Bauernprotest | ntv;08.01.2024;3340;0;0;1780;7620;3747;7810;4680;40;600;6658;0;625740;1030046;15;00:00:59;19019560;255;;;;
2R247-9utK4;Streit um Subventionen: Wie es den Landwirten in Deutschland finanziell geht | ntv;08.01.2024;1960;0;0;690;1390;7632;850;2740;10;240;5597;0;195710;2738449;2;00:00:50;7905700;184;;;;
6LNz12Q0or0;Zu Fuß nach Gaza - Israelis zeigen ntv-Reporterin riesigen Hamas-Terror-Tunnel | ntv;09.01.2024;2300;0;0;670;0;6554;1330;2530;30;290;6152;0;174690;471703;93;00:01:37;4353610;299;;;;
ZqrvEkJ6ys0;"""Angriffe der Russen sind verheerend"" - Oberst Reisners Blick auf die Front | ntv";09.01.2024;20140;0;0;9030;0;7146;25940;64950;220;5110;4868;0;3909020;195060421;2494;00:02:59;53866410;523;;;;
JMHUnTwwZGY;"""Viele, die gegen Krieg sind, sind doch für Putin"" - ntv-Reporter Munz über ""Wahlkampf"" | ntv";11.01.2024;2980;0;0;240;0;8299;580;2830;70;370;5367;0;247150;560098;68;00:01:21;2286700;51;;;;
LadFfN-a00U;Russland verheizt Panzer um Panzer: Ukrainer filmen Friedhof Awdijiwka-Front | ntv;11.01.2024;1690;30;0;390;0;8377;250;1290;0;480;5529;0;608950;1702241;836;00:01:40;5831400;766;;;;
2mr0IZXoUo4;"Auch Weidels Büroleiter war Gast: ""Masterplan""-Treffen: AfD übt sich in Beschwichtigungen | ntv";11.01.2024;1730;0;0;2230;0;239;13370;4200;30;210;5545;0;389140;6713652;37;00:01:02;8872660;323;;;;
0Ylg4HbFuy0;Putins Tochter sinniert über den Wert menschlichen Lebens | ntv;12.01.2024;10;0;0;10;0;1000;0;10;0;0;6453;0;800;11758;102;00:00:52;3990;652;;;;
DdVj1_JqWpA;"Spahn zur erstarkenden AfD"": Der Unmut verschwindet nicht durch Verbote"" | ntv";13.01.2024;4130;0;0;4880;0;5301;15670;17680;90;920;5042;0;952070;31734665;87;00:01:59;31320630;201;;;;
JTvco-4aR5Q;"""Problem ist nicht mehr Agrardiesel"" - Minister Özdemir zu Bauern-Protesten  | ntv";15.01.2024;1800;0;0;1390;0;308;6290;2800;30;480;2732;0;581600;21141802;45;00:02:10;5794820;351;;;;
YHcxid-cqpI;"""Massiver Verlust"" für Russen - ""Fliegende Kommandostation"" zerstört. Reisners Front-Blick | ntv";15.01.2024;17300;0;20;5060;0;7684;15200;50430;160;4670;526;0;3902220;14994362;999;00:02:18;62033630;45;;;;
rLhiY9Ba3YE;"""Gerettet von deutscher Panzerung"" - Ukrainische Besatzung zeigt zerschossenen Leopard 2 | ntv";18.01.2024;820;60;0;360;0;929;110;1440;10;170;537;0;368830;803197;41723;00:01:18;3480200;79;;;;
ask5VYF_Ex8;"""Der Ukraine-Krieg war vermeidbar"" - Historiker Ferguson sieht Fehler bei den USA | ntv";18.01.2024;2450;0;0;1750;0;7124;1780;4410;40;290;5624;0;290610;10669073;469;00:02:12;3232720;569;;;;
6kAAHoWeBJg;"""Was AfD von sich gibt, ist teils schwer erträglich"" - Berlins Regiermeister Wegner | ntv";18.01.2024;1950;0;0;2290;0;1218;37130;5150;100;550;3461;0;662990;13129556;21;00:01:11;22569980;194;;;;
51vR4T8MZwI;"""Respektlosigkeit"", ""Missachtung"": Merz wettert im Bundestag gegen abwesenden Kanzler | ntv";18.01.2024;4130;0;0;35280;0;9005;5690;51520;180;3990;3474;0;2352270;151624884;2397;00:03:52;28982050;31;;;;
pY7alUm49hs;"""Wird große Truppenbewegungen durch Deutschland geben""- Wiegold zur NATO-Übung im Februar | ntv";19.01.2024;4600;0;0;11590;0;4802;13400;12380;120;1770;4139;0;1235140;37060137;312;00:01:48;22873550;372;;;;
f5hxHQ4WAzg;Höcke empört mit Nazi-Vergleich - Anti-AfD-Demos wie Fackelmärsche? | ntv;19.01.2024;20;0;0;30;0;1000;0;10;0;0;446;0;4240;45704;417;00:00:38;37100;863;;;;
8BLhWqwOpHY;"""Roboter-Krieg"" - Spezialtraining: So stellen Ukrainer Moskaus schnelle Mini-Sabotage-Trupps | ntv";20.01.2024;1760;0;0;260;0;8541;410;2400;10;220;4731;0;267700;450282;53;00:01:00;1970860;899;;;;
0QnbSWp7FeA;"""Viele Computerspiele gespielt"" - Ukrainer beharkt mit Bradley-Panzer russischen T-90 | ntv";21.01.2024;10;0;0;10;0;1000;0;20;0;0;5962;0;2100;36169;188;00:01:02;10390;943;;;;
ufWXXme2x-E;"""Ukraine gräbt sich in Erwartung russischer Offensive ein"" - Reisner zu Kiews Militärstrategie | ntv";22.01.2024;5300;0;0;5450;0;7755;10420;35990;160;2920;4537;0;2540860;213266147;29;00:05:02;42428650;376;;;;
jZ_3b1FFWXI;Sturmangriff-Video offenbart Kreml-Taktik in Awdijiwka  | ntv;22.01.2024;10620;0;0;400;0;6399;2510;4460;50;500;6568;0;1031430;17876975;296;00:01:02;12861950;548;;;;
OeiND4lG3E8;"""Ein schwarzer Dienstag für Charkiw"" - ntv-Reporter erlebt Angriffe hautnah mit | ntv";24.01.2024;10;0;0;0;0;;0;0;0;0;9718;0;40;1436;3;00:02:09;980;204;;;;
ZM8L6vPK1pA;Im Extremtiefflug zuschlagen: Hochriskante Helikopter-Manöver ukrainischer Kampfpiloten  | ntv;24.01.2024;2470;0;0;140;0;8578;330;1990;30;50;5924;0;215190;3718366;208;00:01:02;1723920;897;;;;
sMx7p41L0eA;Technik, Reichweite, Schleich-Flug - Was kann Taurus, das Storm Shadow nicht kann? | ntv;25.01.2024;30;0;0;10;0;500;20;20;0;10;4858;0;10690;415456;321;00:02:19;76290;713;;;;
Pd7mJpSnJ-4;"Was geschah mit russischem Flieger? Absturz-Zeugen: ""zwei Explosionen"" und ein ""roter Blitz"" | ntv";25.01.2024;7930;0;0;1080;0;8056;1240;5140;50;800;4866;0;947600;24081581;8;00:01:31;19588880;363;;;;
AA7LZgX21sg;"""Die erste Welle der Russen ist reines Kanonenfutter"", so Reisners Blick auf die Front | ntv";30.01.2024;7890;0;0;1780;0;7643;4590;14880;20;830;4273;0;1774120;56640705;224;00:01:54;15381680;517;;;;
GgxtbsgHzVU;"""Die erste Welle der Russen ist reines Kanonenfutter"" - Reisners Blick auf die Front | ntv";30.01.2024;3220;0;0;1020;0;8297;1810;8820;30;540;3536;0;1404790;37117516;25;00:01:35;9165470;528;;;;
B3LBepsyUnk;"""Sie sind eine Mimose"" - Kanzler Scholz schießt im Bundestag laut gegen Merz zurück | ntv";31.01.2024;10;0;10;110;0;1000;0;50;0;10;381;0;4140;177439;1465;00:02:34;49930;503;;;;
T5lsX3-PAws;Vergiftetes Geschenk für Habeck - CDU-Politiker nimmt Schlusslicht mit in den Bundestag | ntv;01.02.2024;5440;0;0;3240;0;9418;930;15050;50;770;4205;0;602330;27300897;116;00:02:43;6407190;441;;;;
BwXoodtRy9E;"""Ich hatte schon viele Würstchen"" - Heidi Klum plaudert ungeniert intime Sex-Details aus | ntv";01.02.2024;20;0;0;0;0;6667;10;20;0;0;5737;0;3960;78247;663;00:01:11;21680;89;;;;
gDRZrXDFTVk;"""Schlusslicht""-Konter zum Einstieg - Habeck arbeitet sich an Merz ab und macht ein Angebot | ntv";01.02.2024;30;0;0;60;0;2000;-10;20;0;0;3725;0;1630;57169;728;00:02:06;18450;591;;;;
hAU278EEmkc;Zuckerberg entschuldigt sich widerwillig für Schäden an  Kinder durch Meta | ntv;01.02.2024;20;0;0;70;0;;0;0;0;0;5603;0;650;19424;183;00:01:47;3480;1236;;;;
y3qxbHBgHe0;"""Selenskyjs Kriegsziele sind eine Illusion"" - Oberst a. D. stimmt Saluschnyj zu | ntv";05.02.2024;10150;20;0;9960;0;8298;7630;37190;130;3560;4221;0;2793720;216181197;2146;00:04:38;46350420;374;;;;
RqCPdl-oC80;Bizarre Waffenmesse in Riad: Ukraine und Russland stehen im Mittelpunkt | ntv;06.02.2024;11060;0;0;1080;0;8147;860;3780;50;470;5986;0;663810;15012188;284;00:01:21;6996950;627;;;;
L0y1fqMw9mo;"Bevölkerung ""aufgewiegelt""? - AfD-Chef über Proteste ""ein Stück weit"" besorgt | ntv Frühstart";06.02.2024;50340;0;0;23930;0;9345;11000;156990;430;6680;4334;0;5442800;308654866;1608;00:03:24;52335830;411;;;;
8POy7lo0Dro;"Lindner: ""Wenn wir nichts tun, wird Deutschland ärmer""| ntv";06.02.2024;11440;0;0;4990;0;3016;20980;9060;80;1270;4152;0;1149060;41345262;148;00:02:09;37753200;219;;;;
NgaQxeh5uOc;Deutsche an Ukraine-Front getötet - Wer war Savita W.? - ntv-Reporterin auf Spurensuche | ntv;08.02.2024;10;0;0;10;0;3333;-60;-30;0;10;4048;0;2090;3243;216;00:00:55;18580;71;;;;
ZGtNG48aJ7Y;"""Dieses Interview hat Putin gar nicht genutzt""- Politologe Jäger sieht ""vier Erzählungen""  | ntv";09.02.2024;1700;0;0;860;0;317;5430;2520;40;280;4767;0;237830;9543037;174;00:02:24;3908390;445;;;;
N1Tb66k3chg;Großes Interview, kein Widerspruch: Tucker Carlson lässt Wladimir Putin ungebremst fabulieren | ntv;09.02.2024;10;0;0;0;0;3333;-20;-10;0;10;317;0;2160;48314;324;00:01:20;24750;57;;;;
1UqLVZisbp8;Riesige Feuerwolke im längsten Tunnel Deutschlands - LKW rast brennend durch | ntv;09.02.2024;30;0;0;40;0;0;-10;0;0;0;7217;0;1230;18741;123;00:00:54;10400;846;;;;
C2TCsiYItoA;"""Fast komisch, wenn es nicht so tragisch wäre"" - Munz zum Carlson-Interview mit Putin | ntv";09.02.2024;6600;0;0;2280;0;2305;21830;6540;100;560;5264;0;741260;21352462;65;00:01:43;16202180;326;;;;
TsOpzClm0q0;"Munitions-Maschine ""kommt ins Laufen"" - Generalmajor blickt optimistisch auf die Ukraine | ntv";13.02.2024;2710;0;0;5650;0;7396;14020;39810;130;3130;3807;0;2283670;188585785;856;00:04:57;41582100;36;;;;
AWELHArADrU;"Verfolgt, vergiftet, verhaftet"": Putin-Gegner Nawalny ist tot | ntv";16.02.2024;10130;0;0;4470;0;7124;4720;11690;40;1070;5583;0;782410;21114656;113;00:01:37;22256560;244;;;;
jQJKjQSlO-A;"Taurus ""könnten Krieg nicht entscheiden"" - Darum dreht sich der Streit um Marschflugkörper | ntv";20.02.2024;2660;0;0;710;0;5499;3160;3860;0;290;5108;0;391460;14498096;82;00:02:13;11153210;233;;;;
1bIYWo6OKbs;Vieles spricht für russischen Mord -  Kriewald zum in Spanien erschossenen Überläufer | ntv;20.02.2024;3420;0;0;1180;0;4868;6590;6250;60;570;4939;0;616170;16821465;57;00:01:38;15869800;268;;;;
SM2Ak1Ob1Kc;"""Ohne uns wäre Scholz der Linkeste im Bundestag"" - Gregor Gysi im ntv Frühstart | ntv";21.02.2024;1980;0;0;4420;0;8789;2010;14590;70;1650;3822;0;839150;55953916;1008;00:04:00;11275800;259;;;;
tbqtNozlGWA;Am Himmel surrt der Tod, im Schlamm stecken Panzer - Ukrainer zermürbt und krank | ntv;23.02.2024;10850;0;0;2650;0;6886;5310;11740;60;1230;5386;0;1524650;45850607;112;00:01:48;18983410;505;;;;
gGUHLLY3yT8;Todesfalle Balkon? - Hochhaus in Valencia brennt komplett aus | ntv;23.02.2024;10;0;0;0;0;;0;0;0;0;465;0;700;9404;7;00:00:48;5360;821;;;;
-9txkU5slZ4;LIVE: Abstimmung im Bundestag zur Cannabis-Legalisierung;23.02.2024;0;0;0;0;0;1000;0;-10;0;0;2642;0;30;2369;0;00:04:44;480;417;;;;
lqtT2pINO80;"Klares Nein zu Taurus-Lieferung - Scholz warnt vor Gefahr deutscher ""Kriegsbeteiligung"" | ntv";26.02.2024;3750;0;0;5070;0;8208;3050;13970;40;710;5678;0;582160;19742798;82;00:02:02;10738440;333;;;;
1TEcVzRiKmg;"""Erste Einsätze westlicher Kampfjets im Verborgenen möglich"" - Reisners Blick auf die Front | ntv";26.02.2024;5130;0;0;1440;0;815;2610;11500;40;690;4082;0;1742980;35574682;6;00:01:13;11706760;558;;;;
DcJMJf7FL7o;LKA fasst RAF-Terroristin in Berlin - Klette war 30 Jahre untergetaucht | ntv;27.02.2024;1630;0;0;2210;0;8968;580;5040;40;360;6856;0;499360;9129524;16;00:01:05;6456700;56;;;;
o9dEIGntY7k;"""Taurus-Scheindebatte"" lenkt von Versagen ab - Thiele besorgt über Macrons Aussagen | ntv";27.02.2024;3950;0;0;3000;0;6997;3820;8900;20;610;455;0;841110;32532469;65;00:02:19;18321090;20;;;;
gM8kZ2F8dcc;"""Russland geht All In"" - Reisners Blick auf die Front | ntv";05.03.2024;17400;0;0;6770;0;8485;9300;52100;270;3910;5074;0;4747940;182683664;628;00:02:18;38856030;651;;;;
2C0l_bSY5eM;Beschuss deutscher Brücken? Kreml-TV spekuliert über Aktionen zwischen Rhein und Ostsee | ntv;05.03.2024;10;0;0;0;0;0;-10;0;0;0;3553;0;190;3019;44;00:00:57;2960;304;;;;
PF4kqlx2kMA;"""Länger arbeiten bedeutet Rentenkürzung"" - Sozialminister Heil im Frühstart | ntv";06.03.2024;1740;0;0;2330;0;4589;4870;4130;30;710;3203;0;793030;33231569;116;00:02:30;33795750;153;;;;
6aAZgR7QMVk;Kriminelle Gangs tyrannisieren Haiti - Leichen säumen die Straßen | ntv;06.03.2024;10;0;0;0;0;;0;0;0;0;6511;0;1060;30481;238;00:01:43;5460;1337;;;;
eew9uAYGhmQ;"NATO probt ""Rückeroberung besetzter Gebiete"" nördlich des Polarkreises | ntv";07.03.2024;6380;0;0;1580;0;4468;4260;3440;60;440;5741;0;450490;6680818;91;00:00:53;6938000;38;;;;
 -McM13qXFDs;"Putins Propaganda dreht hoch: Russland als ""belagertes Camp"" | ntv";07.03.2024;6650;0;0;750;0;5772;3480;4750;30;350;4954;0;572710;15604546;143;00:01:38;8720970;347;;;;
ZJOA1aEY0PM;"""Ukraine kann Putin aufhalten - wenn wir unterstützen"" - Bidens kämpferische Staatsrede | ntv";08.03.2024;2010;0;0;2150;0;3625;8600;4890;40;500;3865;0;403230;1017427;205;00:01:30;17418640;146;;;;
2Q62DfENtQ4;"""Rentenpaket nimmt Junge aus wie Weihnachtsgänse"" - Augstein fährt Blome im Gegenverkehr | ntv";08.03.2024;10;0;0;0;0;1000;0;30;0;0;6039;0;730;26697;144;00:02:11;5010;419;;;;
yTpRhrr8Ywk;Kanonenfutter für die Front - So rekrutiert Russland Söldner in Afrika | ntv;09.03.2024;220;10;0;230;0;1000;0;200;10;80;4638;0;55100;246348;1012;00:02:40;516280;736;;;;
sam8FKEGrgY;"Wer ""besiegt wird, muss Mut haben, zu verhandeln"" - Papst Franziskus über den Ukraine-Krieg | ntv";10.03.2024;10;0;0;0;0;1000;0;-20;0;0;5923;0;510;5454;51;00:00:38;8270;435;;;;
FoIlgpP0sSE;Reisner: Ukraine verlegt Eliteeinheiten nach Awdijiwka, Kiews gefährlichste Front  | ntv;11.03.2024;14610;10;0;7740;7800;8831;6550;49470;240;4050;5234;0;3816830;217529695;1519;00:03:25;45089130;483;;;;
vDwxWijp73o;Himmel füllte sich mit Gleitbomben - Verteidiger nennen Gründe für den Fall von Awdijiwka  | ntv;11.03.2024;20;0;0;0;10;1000;0;-10;0;0;5041;0;1140;24903;169;00:01:18;10730;708;;;;
ztz02M7klRs;Ukraine massiv unter Druck - Experten widersprechen Selenskyjs Lagebericht | ntv;12.03.2024;2290;0;0;1670;3660;7819;2120;7600;20;410;682;0;592010;10991681;182;00:01:06;5278580;729;;;;
ehhp10s09kM;"""Grund, sich Sorgen zu machen"" - Thiele zu Putins Atom-Drohungen  | ntv";13.03.2024;10;0;0;0;0;;0;0;0;0;5096;0;150;4247;8;00:01:41;3560;309;;;;
FA4VxfzjdVs;"Umstrittene Rede: Mützenich mahnt im Bundestag: Atom-Pläne ""sollten uns aufhorchen lassen"" | ntv";14.03.2024;20;0;0;40;50;;0;0;0;0;2657;0;3590;191867;1845;00:03:12;22080;897;;;;
VJxCe9PQY0A;"""Hab' ich was nicht mitgekriegt?"" - Daum muss bei Frage zum FC Bayern lachen | ntv";14.03.2024;20;0;0;0;0;;0;0;0;0;5601;0;690;16104;116;00:01:24;6230;931;;;;
 -J4ghUkyfuc;Von Riesenwelle erwischt - Schock-Moment auf Fähre vor Lanzarote | #ntv #shorts #lanzarote #fähre;15.03.2024;0;0;0;0;0;1000;0;-10;0;0;7168;1360;1260;10036;;00:00:28;17650;244;;;;
yC-17mPC_FQ;Bayern verbietet gendergerechte Sprache - Schluss mit Binnen-I und Sternchen | ntv;20.03.2024;10;0;0;10;0;1000;0;-110;0;0;6652;0;2500;37881;338;00:00:54;24250;701;;;;
nZOvLmgmRHU;Familie stirbt auf der Autobahn - Überlebende spricht erstmals über Horror-Unfall auf A5 | ntv;20.03.2024;10;0;0;20;0;1000;0;90;0;0;4075;0;8930;189021;1509;00:01:16;73710;908;;;;
Fr0dB65h0uM;"Neue Zecken-Art im Anmarsch! ""Hyalomma sind Jäger"" | ntv";22.03.2024;10;0;0;50;0;1000;0;30;0;10;6589;0;6690;11388;928;00:01:01;33630;993;;;;
j2LemRWdmMY;Union scheitert, Cannabis-Teillegalisierung gilt ab Ostermontag  | ntv;22.03.2024;2590;10;0;790;2550;7915;740;2810;0;140;6421;0;242210;4795314;235;00:01:11;4453690;374;;;;
1tPLf2RfVlU;"Anschlag oder Propaganda? ""Terrorangriff des IS passt dem Kreml nicht ins Bild"" | ntv";23.03.2024;4580;0;0;1080;4220;4805;3990;3690;20;530;4606;0;513910;15518737;;00:01:48;28381990;143;;;;
BrEEMYvfAys;Anschlag in Konzerthalle bei Moskau - Videos zeigen dutzende Tote und Verletzte | ntv;23.03.2024;20;0;0;40;60;1000;0;-30;0;0;4167;0;5210;74776;13;00:00:51;25650;1505;;;;
x7xZzpwWVEc;"Moskauer Anschlag ""sehr ungewöhnlich"" für IS - Politologe Kaim analysiert Motive | ntv";23.03.2024;10380;0;0;4350;9200;7031;6570;15560;30;1470;4608;0;2024390;75919173;;00:02:15;45942820;307;;;;
LX4uNOQQfJ4;"""Innerterroristischer Wettstreit""? Politologe Jäger zu Anschlag nahe Moskau | ntv";23.03.2024;8040;0;0;790;3360;654;2910;5500;20;640;3733;0;688040;27325441;17;00:02:22;22660180;221;;;;
C5D3NJyECdo;Warum in Moskau alles für einen Anschlag des IS spricht - Terrorismusexperte erklärt Hinweise | ntv;23.03.2024;4750;0;0;1010;2670;7762;1090;3780;10;420;4809;0;337030;15307654;;00:02:43;17977590;111;;;;
8D2kASbFnjA;"Putin hielt Terror-Hinweis der USA für ""Erpressung"" | ntv";24.03.2024;5840;0;0;2980;5590;8194;2200;9980;60;1100;6443;0;1226390;23046375;4;00:01:07;16375490;505;;;;
w_LiCzUz9aI;"Terror-Gefahr für Deutschland  durch ISPK-Mitglieder ""bleibt akut"", so Innenministerin Faeser  | ntv";24.03.2024;5390;10;0;4140;5360;8528;1200;6950;60;710;5742;0;678700;11149704;365;00:00:59;10540700;46;;;;
rgXEldrJ36w;Der neue VW Passat legt kräftig zu - Hybrid mit Reichweiten-Ansage | ntv;24.03.2024;10;0;0;0;0;;0;0;0;0;4264;0;1720;91474;33;00:03:11;14420;673;;;;
ntk90gvI3bw;Elefanten starten wilden Kampf mitten auf Volksfest - Viele Verletzte in Indien | ntv;25.03.2024;5300;0;0;660;260;8023;170;690;10;280;743;0;239270;3210052;192;00:00:48;357850;639;;;;
vWSMqZ3JZQk;Israels Armee startet neuen Einsatz in Chan Junis, Partner machen zunehmend Druck | ntv;25.03.2024;10;0;0;0;0;;0;0;0;0;9434;0;20;571;;00:01:42;800;125;;;;
N6yGb4ijkXU;Terror in Moskau - Neues Video zeigt Feuereröffnung - Kreml führt Gefolterte vor | ntv;25.03.2024;9690;0;0;3820;7460;8667;1920;12480;80;1660;6411;0;2205540;40452795;15;00:01:06;46409780;338;;;;
KCkk17KZKQg;"Einsturz in Baltimore ""schlimmster denkbarer Fall"" - Experte: Kritischer Punkt getroffen  | ntv";26.03.2024;1830;0;0;490;340;8827;190;1430;10;150;504;0;218120;772617;67;00:02:07;2640530;488;;;;
X2Hc1D5U7j4;"Brückeneinsturz: Fiel der Antrieb der ""Dali"" aus? - Kleim zu Unglück in Baltimore  | ntv";26.03.2024;2620;0;0;250;150;9158;80;870;10;70;5321;0;126650;5222341;51;00:02:28;1577310;407;;;;
Viok2MrkZdQ;2800-Meter-Brücke in Baltimore bricht ein - Schiff rammt Pfeiler, Autos stürzen ins Wasser  | ntv;26.03.2024;3960;0;0;4760;460;899;100;890;0;80;6695;0;321020;3343342;162;00:00:37;1582010;1432;;;;
wK8iBldpPSY;"Brücken-Katastrophe ""trifft wieder die Ärmsten"" - Kleim zum Verkehrschaos in Baltimore | ntv";27.03.2024;2350;0;0;730;980;8004;900;3610;30;470;4162;0;865840;20021513;81;00:01:23;35700610;16;;;;
J7-keUvQ9b4;Delfin-Hotel pflegt kranke Schweinswale gesund - Jaenicke unterstützt Spendenprojekt | ntv;27.03.2024;10;0;0;10;0;;0;0;0;0;5474;0;900;1259;154;00:00:50;5130;1404;;;;
8r9MZ9jqxdY;Altkanzler Schröder  wird 80 | ntv;07.04.2024;3640;0;0;3410;9430;739;5590;15830;40;1290;5855;0;1374960;24376873;868;00:01:03;48315110;196;;;;
0mASYqvp_r8;"Ex-Militär zu Selenskyj-Warnung: ""Klingt dramatisch, ist aber überhaupt nicht so heiß"" | ntv";08.04.2024;1790;0;0;2800;6310;6582;7690;14810;90;1720;317;0;1296500;96253173;508;00:04:27;26347690;28;;;;
qLQmVB5Dza0;"Verschollener 41 Tonnen ""Monster-Panzer"" Asowez offenbar von Russen entdeckt | ntv";08.04.2024;3050;0;0;330;310;8765;210;1490;30;210;5823;0;462110;5979799;1205;00:00:46;2567890;983;;;;
OsruDHXI_lk;Außerirdischer Anblick: Ätna spuckt riesige, perfekte Ringe aus Rauch  | ntv;08.04.2024;10;0;0;20;0;;0;0;0;0;5481;0;590;7007;66;00:00:42;4370;275;;;;
VPciKQIOP-Q;Nach zehn Jahren hinter Gittern: Deutscher Schlagersänger verlässt Knast auf Bali | ntv;08.04.2024;10;0;0;30;0;1000;0;50;0;0;4667;0;4990;11515;49;00:01:23;39850;881;;;;
g_OS5mOwYOI;"Über 100 Zivilisten bei ""Mehl-Massaker"" ermordet: Israel sagt laut CNN nicht die Wahrheit  | ntv";10.04.2024;10;0;0;0;0;1000;0;10;0;0;3838;0;210;5306;4;00:01:30;2300;478;;;;
DMdlQr4GxRU;Mareile Höppner: Dickpics sind ein Riesenthema | ntv;10.04.2024;20;0;0;0;10;1000;0;50;0;0;4478;0;9890;89809;79;00:00:32;94540;741;;;;
jmk3aM6cPZs;Beihilfe zum Genozid? Baerbock zu Nicaraguas Klage gegen Deutschland | ntv;10.04.2024;20;0;0;0;110;0;40;0;0;0;5217;0;4660;135061;811;00:01:44;48130;742;;;;
_gWvK-qQ-ks;"Stuttgart21-Start erst 2026? Wann ist ""Deutschlands dümmste Großbaustelle"" fertig? | ntv";12.04.2024;30;0;0;0;0;1000;0;20;0;0;6236;0;3860;65531;75;00:01:01;42890;678;;;;
6nEoSktvwk4;Myanmars Militär verbrennt Männer bei lebendigem Leib - CNN verifiziert grausame Videos  | ntv;12.04.2024;10;0;0;0;0;;0;0;0;0;4437;0;1380;32147;207;00:01:23;4250;1976;;;;
ZQDfx4U5FeA;"""Noch mehr Überstunden? Lindner hat doch einen Knall"" - Blome fährt Augstein zur Wache | ntv";12.04.2024;10;0;0;10;0;1000;0;10;0;0;6272;0;750;28617;175;00:02:17;9060;53;;;;
pSL4y-Mt37w;"""Damit rechnen, dass es knallt"" - Militärexperte Thiele zur Vergeltung vom Iran gegen Israel | ntv";13.04.2024;1720;0;0;1150;2700;6849;1840;4000;10;630;4835;0;515030;27323142;5;00:03:10;5924280;515;;;;
vxwAeZgE7F0;"""Iran hat großen strategischen Fehler gemacht"" - Experte zur Eskalation in Nahost  | ntv";14.04.2024;6030;0;0;1250;4320;7631;2170;6990;60;1040;6142;10;811190;39167853;9;00:02:53;8180240;512;;;;
PnlbcCB9Jt4;"""Große russische Offensive wird ab Ende April möglich"" - Mangott zu Moskaus Momentum  | ntv";14.04.2024;4930;0;0;810;2360;6924;2590;5830;30;580;5414;0;606580;20981798;113;00:02:04;14864200;206;;;;
IobNOoCitQU;Arrow 3 stoppt Raketen außerhalb der Erdatmosphäre - So funktioniert Israels Abwehrsystem | ntv;14.04.2024;20;0;0;0;0;1000;0;20;0;10;6918;0;2130;47888;388;00:01:20;6610;908;;;;
