Videos;Videotitel;Veröffentlichungszeitpunkt des Videos;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Geteilte Inhalte;Kommentare hinzugefügt;„Mag ich“ und „Mag ich nicht“ im Vergleich (%);„Mag ich nicht“-Bewertungen;Likes;Verlorene Abonnenten;Gewonnene Abonnenten;Durchschnittliche Wiedergabedauer in Prozent (%);Im Feed angezeigt;Aufrufe;Wiedergabezeit (Stunden);Geschätzter Umsatz (EUR);Durchschnittliche Wiedergabedauer;Impressionen;Klickrate der Impressionen (%);Länge des Videos (sek);Thema;Bewertung Titel;Gestaltung Thumbnail
DXkumcpmImY;Manipulation im US-Wahlkampf aufgedeckt | ntv #Faktenzeichen;05.11.2024;370;20;0;610;930;7393;1040;2950;20;120;2991;0;129730;9765182;50207;00:04:30;1309430;656;;;;
ZWonSOAgAo4;"Könnte Trump die Ampel sichern? - Ampel-Ende ""wäre für die Grünen verheerend""| ntv";05.11.2024;2310;20;0;560;1280;8373;550;2830;20;180;3653;0;556460;11066662;57643;00:01:11;3938740;407;;;;
578DTCMMzdU;Viele Deutsche füchten Gewalt-Aufruf bei Trump-Niederlage | ntv #Trendbarometer;05.11.2024;70;0;0;60;1050;5361;450;520;20;30;2198;0;40720;2237165;12092;00:03:17;761520;317;;;;
kHA2InQ9a6Q;"""Ich würde Schröder gerne zwei Billy-Regale spendieren""  | ntv #beisenherz";05.11.2024;120;30;0;180;420;5575;500;630;10;90;260;0;75020;12970804;36067;00:10:22;1178770;419;;;;
ErdNRwMFrpE;"""Einer der schlechtesten Augenblicke"" für Ampel-Ende - Anton Hofreiter im Frühstart | ntv";05.11.2024;600;20;0;220;1330;4304;900;680;0;100;2424;0;221140;7458668;35712;00:02:01;961210;603;;;;
cV0BD3wWhGw;Wie das Trump-Lager mit Klagen die Wahl manipuliert - USA rüsten sich für wilde Tage  | ntv;05.11.2024;340;0;0;120;250;6849;230;500;10;50;4401;0;33220;1023397;4748;00:01:50;507710;44;;;;
hr_Ul2DbbKw;"""Trump schließt nicht aus, gar nicht erst aufzutreten"" - Beckmeier: Republikaner sind nervös  | ntv";06.11.2024;90;10;0;30;100;7368;50;140;0;0;2986;0;31110;885201;4406;00:01:42;332060;693;;;;
we1zAr3EwGs;"Scholz ist bei US-Wahl ""Hochrisikostrategie gefahren"" - Röttgen im Frühstart  | ntv";06.11.2024;5300;80;0;2690;5920;6263;3890;6520;40;580;2865;0;992080;41048837;162928;00:02:28;7451530;431;;;;
WU1u7GROLnQ;"Trump-Wähler und Respekt ""ist eine große Ironie"" - USA-Experte zu Republikanern  | ntv";06.11.2024;80;0;0;90;140;8261;40;190;0;0;3503;0;19170;634232;2463;00:01:59;308990;457;;;;
ibRNKV4k8O8;"Statue von Trump in Sex-Pose ""trifft einen Nerv"" - Kunst provoziert Chaos in New York  | ntv";06.11.2024;60;20;0;1830;220;6379;210;370;0;40;2141;0;64560;1693001;1061;00:01:34;239460;908;;;;
yBrXauwVKUU;"""Haben keinen Grund, uns zu verstecken"" - Pistorius zu Deutschlands Zukunft nach US-Wahl | ntv";06.11.2024;1240;60;0;600;1600;8606;640;3950;10;80;2758;0;449160;10942031;37472;00:01:27;1948060;635;;;;
IsWD0Ov8XwE;"""Würde Trump nicht konservativ und rechts nennen"" - Ex-Vizekanzler Gabriel zur US-Wahl | ntv";06.11.2024;210;0;0;160;200;7143;120;300;0;10;3187;0;41040;1046356;4336;00:01:31;346390;555;;;;
AzKLX5XjClM;Bombendrohungen und Betrugsvorwürfe: Das war die Wahlnacht in den USA | ntv;06.11.2024;1270;10;0;100;530;8137;190;830;10;60;385;0;144390;2146209;11171;00:00:53;3179110;168;;;;
wRvCGRv-MnY;Trump reklamiert den Wahlsieg - Ganze Rede | ntv;06.11.2024;1550;30;0;3190;2400;8733;660;4550;20;650;2241;0;336140;30334961;109957;00:05:24;7033360;262;;;;
Z_EeDqH_3UM;"Siegesgewisse Trump-Wähler träumen schon vom ""Weltfrieden"" | ntv";06.11.2024;780;0;0;660;1070;8696;210;1400;20;30;2859;0;185960;3116322;15309;00:01:00;1262960;43;;;;
