video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;aufrufe;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Klickrate der Impressionen (%);Thema;Bewertung_Titel;Gestaltung_Thumbnail
Xaq5csWMP1E;LIVE: Pressekonferenz der CDU nach den Landtagswahlen in Thüringen und Sachsen;02.09.2024 13:46;2254;76491;520,0;23,09;9,0;0;8820;68;126;30;0,0;;2,4;0,7;7,5;1,8;13,8;3,3;12,7;7,3;18,6;11,0;20,8;;;583,0;0;0;0;126;0;108315,0;5,48;Live;8,5;3
Ss2C5s17zIs;LIVE: Statements Steinmeier und Strobl im Polizeipräsidium Mannheim;07.06.2024 13:07;331;2487;76,0;23,12;0,0;4;1950;56;36;19;0,0;;;;3,8;1,3;7,6;2,3;9,5;6,9;16,3;20,2;32,0;;;103,0;0;0;0;36;0;17017,0;3,12;Live;7,5;3
UNdSb3QKSPI;LIVE: Justizminister Buschmann zu missbräuchlichen Vaterschaftsanerkennungen;30.04.2024 12:29;618;2186;143,0;23,17;0,0;0;916;36;6;16;0,0;;;;;2,7;10,5;4,7;8,3;8,5;16,6;21,3;27,5;;;23,0;0;0;0;6;0;13232,0;3,7;Live;8,5;3
vAslBN6Brc8;Europawahl 2024 LIVE: Das sagt die FDP zum Ergebnis;10.06.2024 11:49;991;22922;230,0;23,22;3,0;1;5977;67;49;28;0,0;0,4;3,9;0,5;8,5;1,5;10,1;3,2;11,0;8,1;18,0;11,5;23,2;;;234,0;0;0;0;49;0;77278,0;4,93;Live;7,5;3
4PPjkbBNnmY;LIVE: Statement Markus Söder in Passau;05.06.2024 15:22;503;3254;117,0;0,0;2,0;1;1659;24;15;4;0,0;;;;11,9;2,2;11,4;1,6;15,8;5,5;20,3;6,3;25,0;;;129,0;0;0;0;15;0;24480,0;3,08;Live;6,5;3
6M3sRT_7PvA;LIVE: Rede Bundeswirtschaftsminister Habeck beim Wohnungsbautag;11.04.2024 13:56;1116;24234;262,0;23,57;2,0;0;5529;56;139;319;0,0;;1,2;;5,5;0,7;14,7;3,0;14,6;10,5;16,5;13,2;20,1;;;1374,0;0;0;0;139;0;41608,0;6,59;Live;7,5;3
9NoHgJfpSG0;LIVE: Pressekonferenz des DFB mit Bundestrainer Julian Nagelsmann;09.09.2024 16:17;885;23872;209,0;23,66;7,0;0;6841;37;1;4;0,0;1,2;2,3;0,7;7,2;1,2;10,5;1,8;12,0;5,0;20,0;9,7;28,4;;;1434,0;0;0;0;1;0;79949,0;4,34;Live;7,5;3
b4TRxS2NrvA;LIVE: Pressekonferenz des FDP-Generalsekretärs Djir-Sarai;11.11.2024 11:50;1107;25874;263,0;23,76;2,0;1;5903;38;8;4;0,0;;3,3;1,0;8,9;2,0;15,4;3,5;15,1;5,8;17,6;9,0;18,6;;;368,0;0;0;0;8;0;86329,0;4,96;Live;8,0;3
kBEQZ5BS030;LIVE: Pressekonferenz der Feuerwehr und Stadt Dresden zur aktuellen Lage nach dem Brückeneinsturz;12.09.2024 13:26;639;81495;152,0;23,79;18,0;3;32165;121;15;50;0,0;0,4;1,0;1,4;2,9;5,1;8,4;6,1;11,1;10,6;16,3;15,1;21,6;;;6653,0;0;0;0;15;0;153014,0;5,73;Live;8,5;2
nVUCVffw5bw;LIVE: Fraktionsstatements Die Grünen;25.06.2024 12:18;756;5368;181,0;23,95;2,0;1;1779;10;68;4;0,0;;;;4,6;;13,0;3,9;9,4;8,0;22,8;13,9;24,3;;;87,0;0;0;0;68;0;36991,0;3,81;Live;6,5;3
