video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;aufrufe;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Klickrate der Impressionen (%);Thema;Bewertung_Titel;Gestaltung_Thumbnail
7Nt88d7zw8k;Mietenwahnsinn: Wenn Todesanzeigen bei der Wohnungssuche helfen sollen | ntv;06.06.2024 10:11;1332;253853;411,0;30,89;92,0;2;37019;358;74;127;107,0;0,7;2,3;6,8;12,9;9,8;15,0;7,3;7,8;9,9;9,3;8,9;9,4;;;9358,0;27;0;0;74;0;531245,0;3,23;Wirtschaft;7,0;3
7wpw4m6pIT0;LIVE: Statement AfD zur Fraktionssitzung;12.03.2024 15:04;998;12181;311,0;31,18;4,0;1;2349;73;18;27;0,0;;;;6,9;;14,9;2,4;14,9;8,3;19,4;7,8;25,2;;;429,0;0;0;0;18;0;36745,0;3,13;Live;7,0;2
RliGGEQncKo;"""Wegen """"fatalem Fehler"""" läuft Zeit """"militärisch gegen uns - General zur militärischen Lage | ntv""";06.05.2024 18:21;764;594342;250,0;32,77;123,0;6;142449;1192;756;248;741,0;0,1;1,0;0,3;4,4;0,7;11,3;1,1;16,4;2,3;24,6;5,0;32,7;;;13309,0;268;0;0;756;0;1485813,0;5,44;Krieg;6,0;1
FwhMJkNN8Ss;"""""""Trump wird beim Bitcoin für Deregulierung sorgen"""" | ntv Geldanlage-Check""";27.11.2024 09:43;503;92452;166,0;33,08;51,0;3;33339;687;24;266;142,0;0,1;2,0;0,6;12,3;1,5;20,8;1,9;15,2;4,1;16,4;7,1;18,0;;;4796,0;90;0;0;24;0;265931,0;5,74;Wirtschaft;7,0;3
H_vaRSda4AY;"""Wagenknecht """"ist offenbar Vorsitzende einer Ich-AG"""" | ntv #beisenherz""";29.10.2024 17:34;2620;345036;879,0;33,56;75,0;2;23542;279;107;75;159,0;0,1;1,4;0,7;6,0;1,9;9,5;2,9;12,7;7,2;18,6;14,5;24,6;;;1460,0;41;5;0;107;0;266377,0;6,29;Politik;8,0;2
AwPsWDu_O30;"""Festakt für Merkel - CDU """"feiert Hochamt der Harmonie"""" | ntv""";26.09.2024 10:34;160;32066;54,0;33,92;17,0;1;35454;136;237;155;298,0;0,3;1,8;0,7;3,6;1,7;4,8;2,7;5,4;8,8;12,3;28,7;29,1;;;4952,0;88;0;0;237;0;220805,0;3,58;Politik;8,0;3
_PRiSe18A_I;Kreuzfahrt ist nicht gleich Kreuzfahrt - ein Überblick | ntv Service;08.08.2024 16:05;1088;175373;372,0;34,19;28,0;1;28286;196;16;134;25,0;0,3;1,8;1,7;5,5;3,2;8,3;5,7;11,8;10,8;19,0;12,6;19,4;;;10217,0;25;1;0;16;0;341198,0;3,9;Sonstiges;8,0;1
T0L-ylMgoSA;"""""""Diese Emotionserkennung ist wirklich spannend""""  Digitalexpertin Frauke Holzmeier zu OpenAI | ntv""";14.05.2024 15:00;164;460;59,0;0,0;1,0;0;463;4;4;6;7,0;;;;;;;;;;;;;;;46,0;0;0;0;4;0;12979,0;2,32;Wirtschaft;5,0;1
zMq5YasFcG8;Was Autofahrer im Winter beachten sollten - ADAC gibt Tipps | ntv;19.01.2024 08:17;192;551;71,0;37,22;0,0;1;463;2;2;1;0,0;;;;;;;;;;;;;;;35,0;2;0;0;2;0;17235,0;1,64;Sonstiges;8,0;1
u0zdNxVOUFo;"""""""Shell kills"""" - Klima-Aktivisten stören Shell-Aktionärsversammlung | #ntv #shell #climatechange""";22.05.2024 12:40;59;549;22,0;37,38;1,0;0;1496;25;12;2;0,0;;8,3;;16,6;;18,6;;12,8;1,8;16,6;7,6;17,6;;;108,0;0;0;0;12;3154;8354,0;2,37;Sonstiges;6,0;2
