durchschnittliche_wiedergabedauer;aufrufe;Klickrate der Impressionen (%)
77,0;2836;3,9
154,0;15220;1,27
271,0;5160;5,49
130,0;58000;3,51
62,0;141871;6,21
161,0;2277;4,32
96,0;12921;1,73
91,0;4803;4,15
162,0;2312;3,22
81,0;11209;4,97
80,0;3656;5,71
119,0;2379;3,19
696,0;7001;3,78
134,0;24022;7,55
102,0;27577;4,96
59,0;36780;2,02
249,0;10368;7,35
120,0;5572;2,64
76,0;104973;7,12
37,0;28696;7,03
85,0;17570;1,85
64,0;3436;5,49
60,0;24538;1,18
78,0;387;1,31
121,0;665;1,79
74,0;20282;7,6
126,0;2341;3,92
87,0;5511;3,59
51,0;1590;3,38
96,0;1707;2,26
132,0;1951;1,16
215,0;4065;2,76
330,0;1243;2,63
55,0;13690;1,04
86,0;21794;1,23
147,0;23447;2,36
141,0;83620;1,9
160,0;1483;2,74
108,0;84170;3,51
78,0;801;2,77
95,0;38791;8,18
72,0;4037;3,24
89,0;2146;3,48
129,0;3839;3,31
94,0;1712;5,57
282,0;6315;3,79
42,0;41505;8,42
154,0;6689;4,26
168,0;57258;5,22
238,0;42361;9,49
99,0;2621;5,68
58,0;52713;2,42
141,0;19171;8,16
111,0;1999;2,76
230,0;5977;4,93
78,0;4636;2,71
322,0;13293;5,77
311,0;110483;4,81
110,0;5382;2,24
254,0;2769;5,93
88,0;36647;3,73
63,0;19148;6,82
269,0;29425;3,76
77,0;44987;2,56
67,0;27086;1,29
47,0;1915;5,45
58,0;226932;3,97
86,0;621;2,08
56,0;9884;3,21
84,0;16871;6,79
95,0;6512;5,98
117,0;486818;8,33
103,0;6823;1,57
98,0;48487;7,03
130,0;55732;8,66
177,0;325382;5,06
116,0;30168;5,24
121,0;65794;1,67
123,0;1742;3,16
76,0;204;1,04
73,0;32650;3,6
102,0;37400;7,22
101,0;14209;3,75
411,0;37019;3,23
77,0;382252;7,65
303,0;247878;3,79
81,0;1786;4,44
71,0;463;1,64
104,0;1649;3,8
85,0;6242;3,58
111,0;1794;9,1
120,0;2124;4,3
178,0;3636;4,93
122,0;233879;4,43
456,0;4165;5,18
171,0;27869;1,75
95,0;13631;1,39
86,0;3148;3,73
52,0;15217;3,18
110,0;405;2,6
49,0;53425;5,0
49,0;2785;1,8
212,0;44332;6,25
94,0;1491;2,85
229,0;1694;3,31
207,0;5658;4,13
1223,0;666883;6,76
152,0;548;2,07
55,0;1140;4,02
68,0;50270;3,2
522,0;42689;8,79
146,0;76372;10,83
187,0;17759;2,21
54,0;35454;3,58
81,0;3058;4,77
83,0;1342;4,32
86,0;18011;1,45
38,0;37505;10,02
58,0;9545;5,36
138,0;21569;2,1
44,0;71446;3,76
328,0;3596;4,46
77,0;1449;3,71
71,0;271667;5,0
44,0;54667;1,91
129,0;4218;3,42
81,0;3904;10,32
47,0;1216;4,33
223,0;534;2,42
92,0;29885;5,46
65,0;12153;1,36
44,0;3231;3,57
129,0;114619;2,19
126,0;4846;2,51
92,0;1414;2,86
188,0;1941;2,54
52,0;1221;2,03
68,0;847;3,2
41,0;8997;8,47
30,0;114761;6,25
52,0;674;3,09
201,0;17816;1,64
71,0;141963;7,95
99,0;3737;4,12
149,0;52981;3,6
67,0;3006;7,06
125,0;82681;6,29
73,0;252673;2,88
97,0;24920;1,42
163,0;33558;1,11
70,0;6936;5,21
47,0;178165;3,18
191,0;51209;5,18
277,0;145846;5,66
63,0;8849;3,87
255,0;8393;4,88
49,0;36789;4,44
104,0;991;1,73
60,0;27220;7,13
59,0;24183;5,0
63,0;4867;6,44
97,0;77360;2,43
54,0;1466;2,23
144,0;16021;1,37
240,0;80703;2,55
32,0;24666;9,4
166,0;9837;3,17
94,0;6404;7,93
70,0;6847;1,22
80,0;92395;7,53
95,0;63107;4,46
109,0;1349;1,22
97,0;155855;2,49
133,0;9743;1,28
56,0;1239;2,91
65,0;1527;1,39
126,0;12510;5,6
122,0;666;1,23
459,0;54979;3,11
