video_id;audience_female_age13-17;audience_male_age13-17;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_male_ageage13-17;audience_female_ageage18-24;audience_male_ageage18-24;audience_female_ageage25-34;audience_male_ageage25-34;audience_genderUserSpecified_ageage25-34;audience_female_ageage35-44;audience_male_ageage35-44;audience_genderUserSpecified_ageage35-44;audience_female_ageage45-54;audience_male_ageage45-54;audience_genderUserSpecified_ageage45-54;audience_female_ageage55-64;audience_male_ageage55-64;audience_female_ageage65-;audience_male_ageage65-;audience_female_ageage13-17;audience_genderUserSpecified_ageage65-;audience_genderUserSpecified_ageage55-64;audience_genderUserSpecified_ageage18-24
2RCKjJwwlfI;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;4,50;0,50;6,00;nan;0,60;10,00;nan;1,30;11,30;nan;3,90;23,60;8,40;30,10;nan;nan;nan;nan
eJVkppykMb8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;3,50;nan;7,00;nan;nan;14,60;nan;1,00;20,30;nan;1,30;24,00;3,30;25,00;nan;nan;nan;nan
8zS7taWf5_4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,20;1,00;8,50;2,30;15,90;nan;2,50;13,50;nan;3,40;10,00;nan;6,70;12,70;9,70;13,60;nan;nan;nan;0,00
YmTywGV0OU0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;nan;13,10;nan;nan;15,90;nan;5,70;18,00;nan;nan;19,60;5,30;22,40;nan;nan;nan;nan
pqhDk1-IIs0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,30;6,00;1,20;9,50;nan;2,30;13,70;nan;3,50;16,10;nan;7,10;17,90;7,00;15,50;nan;nan;nan;nan
uj7MMEa5pfg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;2,00;0,50;8,00;nan;1,40;10,60;nan;3,20;12,00;nan;7,20;18,50;14,20;22,50;nan;nan;nan;nan
AA7LZgX21sg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,10;1,10;0,30;4,90;nan;0,80;12,30;0,00;1,40;15,40;0,00;3,10;24,40;6,00;30,00;nan;0,10;0,00;nan
l4GEv9h64a0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,30;3,00;0,90;7,90;nan;1,60;10,10;nan;2,80;11,00;nan;6,10;16,70;13,80;26,00;nan;nan;nan;nan
LX4uNOQQfJ4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;1,30;6,50;2,40;13,50;0,00;3,30;13,70;0,00;3,60;12,20;0,00;5,50;14,50;8,20;15,10;nan;0,00;0,00;0,00
sBGOJ3VAnqs;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;2,50;0,70;5,50;nan;0,60;9,40;nan;2,20;13,10;nan;5,70;21,10;11,40;27,80;nan;nan;nan;nan
u0zdNxVOUFo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;8,30;nan;16,60;nan;nan;18,60;nan;nan;12,80;nan;1,80;16,60;7,60;17,60;nan;nan;nan;nan
QPZb-DKZPFk;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;3,30;1,30;11,60;nan;1,90;14,80;nan;2,30;15,60;nan;5,10;18,40;8,40;17,20;nan;nan;nan;nan
My0v4FHiV80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;nan;7,00;nan;1,20;11,80;nan;2,80;14,90;nan;5,00;20,60;11,20;25,60;nan;nan;nan;nan
mdP2NE-LS0o;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,20;0,90;0,60;4,50;nan;1,00;11,90;nan;1,50;16,10;0,10;3,10;24,30;6,00;29,80;nan;0,10;0,00;nan
KRIdnJ981Ag;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;nan;12,40;nan;nan;17,00;nan;nan;18,80;nan;9,10;18,80;9,40;14,50;nan;nan;nan;nan
_cPpyJ5_oAA;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,10;0,90;0,40;3,10;nan;0,90;7,60;nan;1,40;11,70;0,00;3,90;22,30;9,70;37,80;nan;0,10;0,10;nan
b5ynrf7cG6M;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;nan;nan;nan;4,50;nan;nan;9,80;nan;4,50;10,80;nan;6,70;26,30;9,80;27,60;nan;nan;nan;nan
mIQ-pux8k1I;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;nan;0,10;1,20;0,50;4,10;nan;0,90;8,30;nan;1,60;11,40;0,00;4,30;20,40;11,00;35,90;nan;0,10;0,00;nan
