video_id;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-
Oz8E0tpppi0;0,70;4,70;1,70;9,00;2,80;11,30;4,00;10,90;8,00;17,10;12,00;17,70
vfq1HofDcdY;nan;3,90;0,40;10,00;1,30;19,10;1,40;17,10;3,10;20,90;4,90;18,00
FhMvDSrmrOk;1,40;5,10;2,70;7,30;2,10;12,50;4,40;11,20;10,00;12,70;14,10;16,60
qhqNOuDy1C4;0,70;5,70;1,90;21,60;2,40;15,80;3,60;9,90;5,50;10,60;8,20;14,20
B7Gl-o1imGw;0,40;1,20;1,60;3,00;4,10;6,90;6,20;9,20;12,30;16,20;17,60;21,30
DAC6CuDAbG8;nan;3,10;nan;9,10;1,10;15,20;2,00;14,50;2,80;21,40;5,60;25,30
1alnWpLxRYg;nan;5,40;nan;15,00;1,30;14,80;3,40;9,80;5,20;17,10;8,20;19,70
lqtT2pINO80;0,40;3,90;1,10;11,90;2,00;14,10;2,60;11,50;5,80;16,00;10,20;20,40
8ZN0S31RGEc;0,70;3,30;nan;7,80;0,80;9,90;0,60;10,30;3,00;20,70;12,60;30,30
JEIOSsjVbeE;0,80;5,30;2,00;13,40;2,60;13,80;3,50;11,50;6,30;15,30;9,60;15,90
Ax9EEEIeEi4;0,10;1,30;0,30;3,90;0,50;7,90;1,50;11,10;5,00;23,00;11,70;33,60
_sPmOFxUI6U;0,50;2,30;1,30;8,80;2,60;13,50;3,50;13,00;6,60;17,50;11,90;18,60
eew9uAYGhmQ;0,30;4,80;1,00;11,10;1,60;15,00;2,00;14,10;4,20;17,60;6,30;21,90
yCDCIlKtJ8w;0,20;4,20;0,80;7,00;1,60;10,30;2,50;12,50;4,90;21,70;8,10;25,90
oEHw4LYD1cI;nan;nan;nan;nan;0,00;12,00;nan;3,70;7,80;24,90;17,00;34,70
p6fZDZWQhew;nan;14,50;nan;24,60;nan;12,50;nan;10,20;2,90;10,90;5,00;19,40
XiWDT35Crxo;nan;4,80;nan;19,50;1,00;21,70;1,10;13,90;3,00;15,10;6,30;13,50
w_LiCzUz9aI;1,00;8,30;2,60;18,00;3,40;15,70;3,70;10,40;6,20;11,50;8,20;10,90
yt6BTE_GffU;1,40;5,60;3,70;12,50;3,90;10,60;4,40;8,30;9,20;11,40;13,70;15,20
