video_id;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-
39gz_lBLCkA;0,80;5,80;2,80;18,80;3,20;22,90;2,60;16,90;2,80;13,50;1,90;7,80
MtNPpcQQtuY;1,40;6,00;3,80;13,60;4,50;17,20;4,40;12,20;6,60;12,50;6,10;11,50
c9rwwTXf6j8;2,70;3,40;7,20;6,90;11,10;7,90;13,30;7,30;17,80;6,90;10,90;4,60
sw4Pg-9QzyE;nan;nan;nan;3,60;1,60;7,20;3,50;7,40;10,80;18,10;16,30;31,60
BAzlKhXkKoc;0,30;1,30;0,70;6,60;1,10;10,50;1,60;12,90;5,20;23,20;11,00;25,70
1kXX4H-yXHQ;0,50;2,60;1,00;4,20;1,70;5,60;2,80;7,60;10,10;20,30;15,90;27,60
l6PCBE4L6W0;nan;nan;nan;3,60;nan;7,90;2,60;9,30;9,20;17,50;17,70;32,20
PNOpialOIL0;nan;0,70;0,50;3,00;1,10;7,80;2,30;10,30;7,00;20,60;14,90;31,80
4og6Rz1VoME;0,30;1,00;2,00;4,30;4,90;9,50;6,30;11,20;10,50;16,80;13,30;19,90
4og6Rz1VoME;0,30;1,00;2,00;4,30;4,90;9,50;6,30;11,20;10,50;16,80;13,30;19,90
4og6Rz1VoME;0,30;1,00;2,00;4,30;4,90;9,50;6,30;11,20;10,50;16,80;13,30;19,90
4og6Rz1VoME;0,30;1,00;2,00;4,30;4,90;9,50;6,30;11,20;10,50;16,80;13,30;19,90
lVG6eRg0q5c;0,30;0,90;1,50;3,00;4,40;6,10;6,30;7,70;12,90;14,60;20,20;22,00
v1zxksbljTw;nan;0,60;0,60;3,20;1,20;5,80;2,00;8,40;5,80;18,40;17,30;36,70
E93hM8B3Egs;0,90;2,30;1,70;6,40;3,00;11,50;3,80;12,30;6,90;17,00;10,50;23,70
8nRonzGRXdM;0,10;0,70;0,50;2,60;1,50;6,00;2,10;8,50;6,60;19,10;18,00;34,50
jB1HXCXMGlI;0,10;1,00;1,00;5,20;1,80;9,10;2,30;9,40;6,20;17,80;14,60;31,40
DO1CcmWIF5s;nan;nan;nan;3,20;nan;7,10;2,50;8,50;9,10;18,60;18,30;32,70
AI648hqOIFI;nan;nan;nan;nan;nan;12,30;nan;12,80;6,70;24,10;15,40;28,70
kDA14tV5KyE;0,10;0,80;0,40;2,20;1,20;5,00;2,50;8,70;7,00;20,60;14,90;36,30
InidHSyJ7XI;0,20;1,40;0,40;6,20;2,00;10,10;2,80;11,70;8,30;18,80;14,30;23,70
cQGFFzeQp4U;0,30;1,70;1,00;7,90;2,10;11,30;3,10;9,80;8,30;17,10;15,40;22,10
QYSFEFJXreY;0,10;1,50;0,90;4,70;2,30;8,20;3,70;9,80;8,20;17,20;15,60;27,70
oKq9HjzU9FQ;nan;nan;nan;4,70;0,70;10,30;4,40;12,30;11,50;17,50;12,90;25,80
Rkxy9HayIXk;nan;nan;nan;nan;nan;6,90;2,30;10,90;11,10;18,30;17,60;32,80
tJYp4GM4r6o;0,30;1,80;1,30;4,90;3,70;7,90;5,20;9,10;11,40;15,00;18,80;20,40
kb8o6aD7iUo;nan;nan;nan;5,30;1,90;10,40;5,00;10,90;10,00;16,30;16,20;24,00
esZLMNcQdvA;nan;nan;nan;10,40;nan;16,70;nan;11,70;7,30;17,50;13,10;23,30
MfgMElpdo2g;0,30;1,70;1,00;4,20;2,30;10,50;4,00;11,00;9,20;19,90;12,70;23,20
YLeDqGnCHc8;nan;nan;nan;3,30;nan;5,80;2,40;8,20;7,70;17,30;18,40;36,90
WrtzFVv8IC4;nan;0,80;0,40;2,90;1,20;7,40;3,10;9,40;8,10;16,80;21,90;28,00
v84j65SGKpQ;0,30;0,40;1,00;3,70;2,80;7,90;3,90;8,70;9,60;15,90;20,10;25,60
NRovT13AgEw;nan;2,70;nan;4,90;0,90;6,70;2,20;8,50;7,10;17,10;17,80;32,00
5D1cWdr8S_k;0,10;1,20;0,30;2,80;0,90;5,70;2,00;8,80;5,20;20,20;13,60;39,20
wN9NpbHKNe0;nan;0,80;0,50;2,90;1,20;6,10;2,70;7,60;8,50;18,90;18,80;32,00
AzpWn1Psa90;nan;2,90;nan;3,10;1,20;6,00;4,30;8,50;10,40;11,00;31,90;20,70
Z_FF6aGp-kA;0,10;0,60;0,70;3,00;1,70;8,10;2,70;10,30;7,00;18,30;15,00;32,50
Q0yCjpsPV5M;nan;3,40;0,60;6,80;3,40;13,50;3,70;11,80;10,00;15,30;13,70;17,90
G2FpCLWcQIY;0,30;2,40;0,80;6,30;1,40;8,00;2,80;9,90;6,10;17,20;15,40;29,20
Bx3b8R6wnpU;0,30;1,10;1,50;5,30;4,20;9,80;4,40;11,80;8,20;18,00;12,50;22,90
JUPXnhZx9PU;0,70;4,00;1,90;12,40;2,60;13,50;3,00;11,20;6,80;15,20;10,00;18,60
cp9V8WpsLn4;0,40;0,70;1,90;3,00;5,10;6,50;6,30;8,50;12,70;16,80;15,60;22,50
PqeYmZFGjTg;nan;1,20;nan;8,90;nan;17,60;nan;18,00;nan;25,40;1,80;27,10
SEW75W9Hh74;nan;nan;nan;nan;2,40;5,60;nan;8,20;8,20;16,60;19,60;39,40
nK7QDSqOlyI;0,90;5,60;1,50;7,10;1,70;7,80;2,40;8,70;5,00;16,60;11,70;31,00
fwNR2WbZx84;0,70;2,70;1,00;6,50;1,80;10,60;2,70;12,10;5,80;16,00;12,90;27,30
O59gZ4hEtPg;nan;nan;nan;4,00;nan;6,50;nan;5,20;6,50;18,70;19,30;39,70
1yYAos7AeYM;nan;nan;nan;2,20;nan;7,10;3,10;10,00;9,80;16,50;16,30;35,10
eM-Ke7piuJs;nan;0,40;0,50;2,40;0,90;6,00;2,50;8,20;8,00;19,20;17,10;34,70
vi4kc7qOEtg;nan;0,60;1,10;5,00;2,40;11,70;1,60;12,40;4,80;20,50;9,20;30,90
vkBV0Rg-fWw;0,20;2,80;0,80;6,60;2,10;8,80;2,70;9,90;6,20;17,20;14,60;28,20
mg9OCdo7aQs;0,70;6,60;2,10;17,00;2,30;16,20;2,90;12,60;4,10;14,20;6,10;15,00
9xWhpJy09_Y;nan;nan;0,60;6,50;0,90;11,20;4,90;11,30;8,70;18,30;14,80;22,80
KbWrCF25_N8;nan;3,30;nan;4,30;1,20;11,00;3,30;11,50;7,10;19,60;13,30;25,40
mD4uYZuKPO4;1,60;6,00;2,80;11,90;6,40;16,60;5,70;14,30;6,90;12,90;5,70;9,40
rIBLlATuhqw;nan;2,30;0,60;6,60;1,70;8,10;3,30;9,40;7,10;18,90;14,00;28,10
YY-x9EtkLyI;0,30;1,70;0,90;6,40;2,20;11,10;3,70;12,80;8,30;18,10;13,60;20,80
q1tz8xpQuFw;nan;3,60;1,90;14,70;1,30;16,80;2,80;14,30;4,40;18,00;6,00;16,10
yfu45P6ESoc;0,20;1,30;0,60;4,70;1,60;11,00;2,10;12,50;5,70;19,60;12,00;28,60
2K5AHdVs3uQ;nan;nan;nan;nan;nan;11,30;nan;19,20;nan;14,20;17,50;37,90
bI26PAW9IJQ;nan;0,60;nan;1,90;1,10;6,00;2,40;8,40;7,20;18,90;18,90;34,70
9LX25PraHeU;nan;nan;nan;5,40;nan;7,70;2,50;7,20;5,40;18,00;17,30;36,40
0LKNGtSFl20;nan;1,80;0,50;6,40;2,30;10,70;3,50;11,20;9,80;16,10;16,00;21,80
YCmd109OkeY;0,40;1,90;1,10;6,40;3,40;11,90;4,20;10,20;7,70;16,20;13,90;22,70
MRwYuyetbEw;nan;nan;nan;8,40;nan;8,40;nan;14,80;6,10;17,90;15,60;28,80
PvycSaPMcZI;nan;nan;0,90;3,20;1,30;8,50;2,90;11,40;8,90;19,80;15,20;27,70
M4iPGG9Q2f4;1,70;9,60;3,30;19,60;3,60;18,70;3,20;13,20;4,00;11,80;3,30;7,70
FN_jE4I-Xcc;nan;0,80;0,50;3,50;1,50;10,70;2,00;14,90;4,00;25,10;5,70;31,20
34sYttFDF3I;nan;nan;nan;4,30;1,40;11,40;3,10;15,20;6,10;24,10;13,50;20,90
C2xnvv-a3YQ;nan;0,30;0,30;2,00;1,30;5,60;2,40;8,40;6,70;18,90;16,80;37,20
Ik474Olthzs;nan;nan;nan;3,40;2,40;8,20;3,00;7,10;8,10;19,80;19,80;28,20
2BWD7Qy1MM0;0,20;2,30;0,80;6,30;1,50;8,70;2,50;10,30;5,70;18,30;13,60;29,90
zqbhui_cwbo;0,10;1,70;0,50;5,00;1,60;8,40;2,50;9,40;7,00;16,80;14,90;32,20
5EjMqD5Y8fQ;nan;1,60;nan;7,30;1,60;15,90;3,40;13,40;7,30;20,00;9,30;20,30
2gWmMcdNbkU;nan;2,60;1,20;8,40;1,00;14,10;4,10;11,30;8,90;16,00;13,00;19,40
rlOd0krY0ag;0,90;6,10;1,60;13,20;2,50;14,70;3,90;11,80;5,30;14,90;8,80;16,20
_8vczeo_KpU;0,40;1,40;2,00;5,20;5,70;10,20;5,80;10,80;9,50;16,50;13,90;18,80
9JHmDWh-IKI;nan;nan;nan;2,80;nan;3,90;1,00;7,10;6,70;18,60;20,80;39,20
ZJUr3NizPv0;nan;2,50;nan;8,00;2,00;11,30;3,60;10,50;7,40;19,80;11,10;23,90
kQLLJrYwfeg;nan;nan;0,60;4,20;2,00;13,30;4,00;11,70;10,60;20,30;12,80;20,50
8pNRephBaV8;0,40;1,70;1,00;6,90;2,00;11,80;3,10;12,80;6,70;17,70;13,80;22,10
l_66e9Mc3WA;nan;nan;nan;4,20;nan;6,70;1,60;10,10;7,00;16,70;20,60;33,10
HKfyrVoKvyc;nan;nan;0,70;2,20;3,50;11,80;4,70;15,50;6,40;25,70;5,00;24,50
KjZ994b414s;nan;0,60;0,90;3,00;3,10;8,40;4,70;10,90;8,20;17,80;14,60;27,70
nsH0gfmeyz8;nan;0,70;0,50;5,10;1,50;13,80;2,50;14,30;5,40;20,90;10,10;25,40
o1YRDn2b4T4;nan;2,00;0,50;4,80;1,30;9,30;2,70;10,60;6,60;16,90;15,10;30,30
_-3lnKnCUzU;nan;nan;nan;7,00;2,90;12,50;1,10;14,50;3,70;20,40;13,80;24,10
f5f6icXAn1E;0,50;5,40;1,50;7,90;2,50;8,80;4,90;9,20;10,90;11,70;21,40;15,00
UJ3VeTDGHSU;nan;2,50;1,10;6,60;1,90;11,10;2,50;10,20;7,00;16,20;13,30;27,40
zKpTPq7WoZU;0,30;1,50;1,20;5,40;2,30;10,00;3,50;10,60;8,10;17,80;14,10;25,20
oeCrKQTyerU;0,50;3,60;1,00;9,10;2,70;13,80;2,90;13,00;7,30;17,50;9,70;18,70
SXO1UAK3ap8;0,30;2,20;0,70;9,80;2,30;14,20;3,40;15,40;6,20;16,90;10,70;17,70
lna8EgiGE4E;0,20;1,00;0,90;3,50;2,90;7,60;4,50;9,10;9,70;17,70;16,80;26,00
vkRvFl4QmzE;nan;nan;nan;3,40;1,40;7,20;2,80;9,80;8,10;18,10;18,10;31,20
4PPECEtcy2A;nan;nan;nan;4,40;nan;7,60;0,60;11,90;6,50;23,70;14,60;30,70
iESGY1-pPoo;nan;nan;nan;2,60;0,90;8,60;3,20;11,20;8,80;19,60;16,90;28,20
YrkbvYmb77I;5,30;14,90;6,60;17,80;7,00;11,70;4,20;7,30;4,20;7,00;5,80;8,20
ZcJN320JTxM;nan;1,00;1,40;8,20;3,40;12,60;4,20;10,20;8,10;14,70;13,30;23,00
LOs2EIRtaD8;nan;1,40;0,60;5,00;1,30;6,10;2,10;6,90;6,10;16,60;17,90;35,90
FgOH-5sJ0s4;0,10;1,70;0,40;4,60;1,10;6,80;2,10;8,90;6,10;18,90;16,00;33,00
Qe6rPwFlS_A;0,10;2,40;0,60;5,60;1,30;7,90;2,70;10,00;6,50;18,70;13,70;30,50
Q66dP-Ef0WA;nan;0,60;0,30;4,80;1,20;12,40;1,80;16,80;4,30;26,20;7,40;24,20
OKZrGDd-Zpc;0,10;0,70;0,40;2,30;1,30;6,00;2,60;9,10;7,30;19,20;18,20;32,70
xmwVtUA989I;0,00;0,70;0,60;3,00;1,80;8,20;2,80;10,00;6,80;19,60;14,60;31,90
Z6Cgf_WHHnI;nan;nan;nan;nan;nan;22,50;nan;17,60;nan;19,80;13,70;26,40
JyquVZpQbVE;nan;nan;0,80;0,50;4,10;3,20;7,80;4,20;20,10;10,20;31,30;17,70
N-6r1R1hTIM;nan;nan;nan;7,80;nan;12,10;nan;14,40;2,50;22,20;13,10;28,00
q_f-ujiuL88;nan;5,10;nan;9,40;nan;11,10;1,50;13,00;5,90;20,00;10,70;23,20
-9txkU5slZ4;nan;3,80;0,90;9,00;1,90;15,80;1,70;10,40;5,70;15,90;11,20;23,80
lRqehXt9w7s;0,30;1,90;0,90;5,80;1,70;8,50;2,80;8,80;7,10;16,40;16,70;29,10
Z0Cer13gXIU;nan;nan;nan;nan;1,30;11,70;nan;12,40;5,90;19,20;15,30;34,20
bzpHiOZW_mU;nan;1,10;nan;3,70;2,10;8,50;3,30;8,70;6,40;17,20;15,70;33,20
AZA1cQxU3bM;nan;4,00;0,80;9,80;1,20;16,10;3,10;13,80;8,40;15,50;11,00;16,30
S-YaFCNoj6c;0,10;2,20;0,40;4,80;1,00;8,60;2,10;11,70;5,20;21,90;10,30;31,50
farFOoSso8g;nan;1,30;0,40;4,20;1,60;8,30;2,80;10,30;8,50;19,80;16,40;26,60
xhS1AU9wNo4;0,20;1,90;0,60;4,90;1,30;8,10;2,20;10,70;5,60;20,40;11,90;31,80
rcZGcXpf1bs;nan;nan;nan;2,10;1,40;6,00;2,60;9,30;8,80;16,00;20,30;33,50
dhJIWfOGk54;0,50;4,40;1,20;10,70;2,60;14,80;3,10;13,70;6,40;17,10;7,70;17,70
_Rvp49QUEGM;0,10;0,80;0,50;2,40;1,20;6,10;2,10;10,80;7,00;22,80;13,20;33,00
xpVfGl42g1s;nan;nan;nan;3,10;nan;9,50;1,10;15,40;7,00;21,50;14,50;27,90
0zETzGurx64;nan;nan;0,90;6,20;1,20;10,80;3,40;10,60;9,60;20,50;14,10;22,60
IhWKNfon4eM;0,60;3,90;0,50;8,10;2,60;11,60;3,50;12,90;7,20;15,20;12,20;21,70
m40rMa32g4E;nan;nan;0,60;5,30;0,50;8,80;3,90;10,00;8,70;16,50;18,80;26,90
K9C14MX3AkI;nan;nan;nan;3,30;nan;10,00;nan;10,50;4,90;24,40;12,40;34,40
jAxQSxtnEK8;0,40;3,00;0,70;8,10;2,30;12,10;3,70;12,00;7,20;17,40;11,40;21,70
hxZgIjWgmkM;0,40;4,50;1,00;10,70;2,20;16,70;3,40;16,30;5,80;16,90;6,60;15,50
AUzvLbM8CjI;0,20;1,30;0,40;4,40;1,40;9,00;2,20;11,50;5,40;21,20;11,20;31,50
23FoStJcaCQ;nan;nan;nan;17,50;nan;14,00;nan;23,20;nan;23,20;nan;22,10
djPkKis5fAg;0,30;2,60;2,00;6,90;2,50;10,00;4,90;13,60;9,80;15,50;14,90;17,10
kN2DDvR9_WU;nan;nan;nan;12,50;nan;8,20;3,60;8,60;nan;22,10;12,50;32,50
73ccXoL2T8k;nan;1,20;nan;6,80;4,10;10,30;4,20;11,20;7,40;19,20;13,90;21,80
HjjiS7twcj0;nan;nan;nan;nan;nan;20,10;nan;22,10;8,70;19,50;6,70;22,80
Kzy9BQVUqTM;nan;nan;nan;9,00;nan;19,00;nan;18,80;3,10;14,20;10,30;25,60
92vKCNct2Sk;nan;nan;nan;nan;nan;6,60;3,30;10,20;5,50;21,00;19,60;33,80
4VHO8GVp4mk;0,30;3,00;0,80;6,20;2,30;11,10;3,00;12,10;6,70;17,70;11,40;25,30
exIEQy41KvA;nan;9,70;nan;25,10;nan;14,00;nan;11,30;2,90;12,90;6,20;18,00
FDrU8y-pG8c;nan;nan;nan;nan;2,40;16,70;3,00;10,20;9,10;21,30;14,60;22,80
4DR0RPZeh0g;0,20;6,20;1,20;15,50;2,10;15,10;2,30;12,30;4,30;15,10;9,10;16,60
usbiQN_7-38;nan;nan;nan;5,90;nan;10,80;2,00;15,70;11,40;22,00;8,60;23,70
yYkOfWHc2-M;0,40;3,80;1,40;9,40;2,00;11,80;3,60;9,60;6,80;13,40;16,40;21,40
1ZwYBu9w_MM;0,50;5,30;1,30;10,50;2,00;14,80;3,70;14,50;4,90;17,40;7,70;17,50
hZkjceKSMJ0;0,30;3,00;0,90;9,00;1,70;13,10;2,20;12,00;5,90;18,00;11,40;22,50
keIDAB-LdgA;0,50;3,90;1,30;9,40;2,10;10,70;2,80;10,40;5,80;17,50;12,30;23,30
ayTf6fGzOmM;nan;2,60;1,20;18,20;3,00;20,60;2,30;18,90;2,40;12,80;4,70;13,30
4inEgkafClU;nan;nan;nan;1,80;0,60;4,20;1,10;6,50;6,90;18,60;19,70;40,60
cy2K4Tk0Aq4;0,30;2,40;0,90;8,00;1,90;11,10;3,50;11,30;7,20;18,00;12,50;23,00
e3reWXz72ko;nan;nan;nan;4,70;nan;5,50;2,40;9,20;5,40;20,20;14,00;38,60
7jXAPFe6ivs;nan;2,40;nan;4,80;nan;7,20;1,80;8,20;8,30;17,10;18,30;32,00
AbDF2huRC5k;nan;0,70;0,20;2,80;1,10;6,00;2,10;11,50;5,70;23,70;11,50;34,70
vRfeAlyL0F0;0,70;3,70;1,70;13,20;2,00;14,80;3,20;13,40;5,60;14,90;8,90;17,70
tLA-E0_ieKw;nan;nan;nan;nan;nan;12,40;nan;16,70;7,10;20,50;14,80;28,60
oBcxwSRojdI;nan;nan;nan;3,90;1,40;12,50;nan;18,40;1,90;23,30;10,90;27,60
hy-sDGmffWs;0,40;3,00;1,40;9,90;2,20;13,40;4,10;13,70;6,50;19,30;7,60;18,50
WK8keAoT2zA;0,30;3,90;1,10;10,10;2,00;12,60;2,40;13,30;6,30;16,70;10,40;20,90
R2i1Nn0ZPHc;nan;nan;nan;nan;nan;20,40;nan;17,80;7,20;24,30;6,60;23,70
8_9LYlLC7EA;nan;nan;nan;nan;12,50;12,50;nan;15,40;nan;23,10;16,30;20,20
ibRNKV4k8O8;1,20;2,70;2,20;9,10;3,20;13,90;6,90;9,50;12,50;15,40;11,80;11,60
gcnhgUyqjZ4;0,50;3,90;2,10;12,50;3,40;14,30;4,10;13,20;7,30;15,70;7,60;15,50
g8mQLvX6if8;nan;2,00;0,50;8,10;0,80;10,10;2,10;15,20;5,50;17,60;11,10;27,00
Zgp3H3Urny8;0,40;4,70;1,10;11,00;1,90;14,10;2,60;13,10;5,10;18,30;7,70;19,80
e8khUFG0nZM;nan;nan;nan;9,20;4,50;17,00;5,00;14,00;6,20;17,20;7,70;19,20
GLmlCEmADh0;nan;nan;0,70;2,60;nan;7,50;3,00;8,70;8,70;17,50;20,50;30,70
M2WLIyg57io;nan;nan;nan;9,50;nan;11,00;nan;17,90;4,90;29,30;6,50;20,90
qhh2Z3o8t3w;nan;2,10;nan;4,10;1,20;11,30;2,10;11,20;5,30;17,40;12,80;32,70
kDknHcOUtR0;0,20;1,70;0,90;7,10;2,10;10,70;2,70;12,20;5,80;18,20;14,10;24,50
8aIDdT1sM34;nan;nan;nan;11,20;nan;14,70;nan;13,90;7,20;17,40;10,00;25,60
iQzjmM-n8R4;3,50;14,20;4,20;15,40;3,90;10,30;4,00;9,30;5,10;8,70;9,40;12,20
1AY62DPV4eI;0,20;2,20;0,60;6,30;1,20;9,00;2,20;11,40;5,50;21,10;10,10;30,10
SCu8Szo9qm8;0,20;0,80;0,60;3,30;1,40;7,80;2,20;10,70;5,70;20,50;12,20;34,70
578DTCMMzdU;nan;3,60;1,30;8,10;2,40;11,60;4,20;11,50;7,00;17,60;12,30;20,40
n9_7xsljttE;nan;nan;nan;nan;nan;nan;nan;13,10;4,50;27,10;24,40;30,80
ZaW80PldM44;0,40;3,60;1,00;10,00;1,60;15,30;2,00;14,20;3,70;17,30;8,00;22,80
9NyhQgZPn0Q;nan;4,30;1,30;9,60;2,80;13,30;5,30;13,70;6,20;14,80;9,80;18,90
Vp5fl37kGNA;nan;nan;nan;5,30;nan;7,10;4,10;8,70;10,20;19,80;19,60;25,10
4YeSBU5aJ1k;0,20;2,50;0,80;7,00;1,50;10,40;2,60;13,00;5,80;20,10;10,80;25,40
0IX88H1CPbU;nan;0,90;0,50;5,50;1,80;11,10;2,90;12,40;8,50;18,20;15,10;23,10
FQQ4XML__eY;0,90;2,50;1,20;7,30;2,80;10,20;4,10;10,00;9,00;14,40;19,00;18,60
5AZ75UsM5Ps;nan;nan;nan;2,60;1,40;5,40;1,80;8,80;8,40;16,30;21,60;33,60
saQA1U6XaNg;nan;nan;0,30;5,10;1,40;11,20;2,50;11,60;6,10;19,20;13,90;28,60
HQupLyuhqjg;nan;1,50;nan;6,40;0,80;10,70;2,20;12,80;5,50;21,60;9,90;28,70
jTWhsyA-XkQ;nan;nan;nan;nan;nan;11,40;4,90;18,80;8,90;16,00;16,60;23,40
J-YHEoi5EXE;0,20;2,70;0,70;7,30;1,20;10,70;2,50;13,60;4,90;21,80;8,50;25,90
2tKQEW2v-Kk;nan;nan;nan;9,30;3,60;20,70;6,20;15,20;4,00;18,60;7,90;14,50
LjpYmJLi8u0;nan;nan;nan;5,00;nan;17,20;5,00;16,00;6,80;18,60;13,40;17,80
hhh3RRE_syM;0,20;1,10;0,60;3,80;2,40;8,40;3,60;10,90;8,80;20,00;14,50;25,70
m0z2cOK1fO4;0,40;1,40;1,30;3,80;4,40;9,50;4,80;12,00;8,40;18,00;13,30;22,50
wRvCGRv-MnY;1,00;4,90;3,00;12,10;4,30;14,90;4,70;11,50;7,10;12,70;9,30;14,60
h2-_8FdOL9U;nan;nan;nan;2,50;nan;4,40;2,90;5,80;5,70;17,00;19,00;42,70
6016PHW5xQA;0,30;1,10;1,00;4,30;3,20;10,10;4,90;12,10;8,70;19,20;12,40;22,40
C0Ls4WaK6Yc;nan;0,50;0,30;3,90;0,80;9,90;1,80;16,70;4,60;32,10;6,10;23,40
3q2H4BgYzM4;0,90;2,80;1,20;11,10;1,90;15,30;4,50;14,70;6,00;19,50;7,20;14,90
kUGgPz7i6Vo;nan;nan;nan;nan;nan;18,20;nan;16,10;9,10;18,60;14,40;23,50
sMx7p41L0eA;0,10;0,80;0,30;3,00;0,80;9,40;1,30;14,00;2,80;25,60;5,60;36,30
Batp_Pk0RhA;nan;1,20;0,50;5,60;2,40;12,30;4,70;15,60;8,00;21,80;11,00;16,80
jhWOFMv1mk8;nan;1,70;nan;3,40;1,30;7,50;3,50;8,10;10,10;18,80;20,00;25,60
au1m2Jv2yqw;nan;nan;nan;9,00;nan;15,70;nan;11,00;4,40;19,20;15,10;25,60
F9Z6psodO3U;nan;nan;0,30;3,70;1,20;9,90;2,80;11,10;5,80;19,90;15,30;30,00
noPi-n164fw;0,20;2,30;0,90;6,20;1,80;9,60;3,30;11,90;8,20;17,80;14,10;23,80
rBGCO9Wh594;0,30;2,60;0,90;6,10;2,10;11,70;2,90;12,50;5,40;20,00;8,60;26,90
veBIEvA2wYQ;2,10;9,80;3,60;15,30;3,40;12,90;3,50;9,60;5,80;11,00;9,80;13,20
5-hRuIIrRN8;0,30;3,80;1,30;12,00;2,20;16,10;3,70;14,00;6,80;14,90;10,80;14,10
oICb0R6mYWU;0,20;2,50;2,00;10,50;2,80;11,00;4,20;10,30;7,70;13,90;13,50;21,50
xLCpqIlqnc0;nan;nan;nan;4,10;nan;14,00;0,90;16,40;4,20;25,80;8,50;25,90
Xaq5csWMP1E;nan;2,40;0,70;7,50;1,80;13,80;3,30;12,70;7,30;18,60;11,00;20,80
Ss2C5s17zIs;nan;nan;nan;3,80;1,30;7,60;2,30;9,50;6,90;16,30;20,20;32,00
UNdSb3QKSPI;nan;nan;nan;nan;2,70;10,50;4,70;8,30;8,50;16,60;21,30;27,50
KtbcRKGRvGI;0,50;2,20;1,00;5,70;2,30;10,10;3,80;11,60;8,80;19,70;14,70;19,70
vAslBN6Brc8;0,40;3,90;0,50;8,50;1,50;10,10;3,20;11,00;8,10;18,00;11,50;23,20
Hczn8cQ5Jg8;nan;nan;nan;14,40;nan;16,30;nan;21,40;nan;20,50;nan;27,40
3PmVzRtGTeU;1,50;8,40;3,20;16,10;3,10;12,10;3,30;9,90;5,00;12,30;9,40;15,70
4PPjkbBNnmY;nan;nan;nan;11,90;2,20;11,40;1,60;15,80;5,50;20,30;6,30;25,00
6M3sRT_7PvA;nan;1,20;nan;5,50;0,70;14,70;3,00;14,60;10,50;16,50;13,20;20,10
JMeCwqYltbo;0,20;0,80;1,10;2,40;3,10;7,00;4,80;11,00;9,60;21,70;13,20;25,00
9NoHgJfpSG0;1,20;2,30;0,70;7,20;1,20;10,50;1,80;12,00;5,00;20,00;9,70;28,40
b4TRxS2NrvA;nan;3,30;1,00;8,90;2,00;15,40;3,50;15,10;5,80;17,60;9,00;18,60
kBEQZ5BS030;0,40;1,00;1,40;2,90;5,10;8,40;6,10;11,10;10,60;16,30;15,10;21,60
YDa_Kt2MxD4;0,20;1,30;0,40;4,00;1,30;10,50;1,70;15,10;3,70;24,60;5,60;31,50
91TRPtrrrkM;nan;3,30;0,40;7,50;1,50;11,30;2,40;13,60;5,10;21,50;7,60;25,70
XJhVGQH_xv8;0,20;1,30;0,60;4,90;1,40;10,10;2,30;13,10;5,30;20,70;10,40;29,40
aX-QA0N0x8M;1,30;5,30;2,50;12,90;2,60;12,90;3,10;11,60;5,70;15,00;9,90;17,00
nVUCVffw5bw;nan;nan;nan;4,60;nan;13,00;3,90;9,40;8,00;22,80;13,90;24,30
lbHmGIldInA;nan;nan;nan;7,60;nan;12,10;nan;15,00;6,30;17,80;12,50;28,80
VosPMSA1xhU;nan;3,50;0,40;7,40;0,90;11,60;1,70;12,70;4,60;21,20;8,10;27,80
qgdemVDqNsQ;0,40;5,90;1,10;14,70;1,60;15,90;1,80;12,10;4,20;16,70;7,00;18,80
3OoBItpG_W8;1,00;5,30;1,70;12,40;2,20;13,00;2,40;12,80;5,10;16,30;8,50;19,30
tWoMsUyE3GM;0,10;1,10;0,40;3,30;0,90;6,20;2,00;9,80;5,50;20,90;13,30;36,50
-5nZnofkgBM;nan;nan;nan;14,70;nan;22,40;nan;;nan;31,80;5,90;25,30
Gfv894t4viQ;nan;nan;1,50;9,00;nan;14,50;4,50;12,00;9,30;19,60;14,60;15,00
9maLTbzFtCc;nan;1,80;0,60;5,80;0,50;11,40;1,90;15,20;4,20;25,00;6,70;27,00
ErdNRwMFrpE;0,10;0,90;0,60;2,50;1,00;6,60;1,90;10,50;6,10;21,00;14,60;34,30
6RM81d-IOTE;nan;nan;nan;8,70;nan;19,20;nan;15,50;6,40;19,50;12,50;18,10
FCM27pPHFZU;nan;1,30;nan;4,40;nan;7,80;1,50;14,50;5,80;24,10;9,20;31,50
MVu15gWGre4;nan;1,00;1,20;9,90;2,70;18,70;4,10;20,20;5,70;17,20;6,10;13,20
4z0hbgGbDKs;nan;2,90;1,00;8,30;2,50;9,90;2,50;13,70;4,90;17,80;12,70;23,80
_5vDWfkXtug;0,60;4,80;1,40;12,90;2,30;14,70;3,10;13,60;5,80;16,80;7,30;16,80
i6pMFFjVeGQ;0,10;0,70;0,40;3,00;1,20;8,30;1,80;12,80;4,90;21,30;10,70;35,00
C_VQhndNuT8;0,10;0,70;0,40;2,90;1,30;5,90;2,30;8,70;6,80;19,30;15,00;36,30
LImFaaAMMpc;0,40;2,50;0,90;7,90;1,40;10,70;2,80;11,80;6,40;19,00;12,30;23,70
E7f6E03mqxQ;nan;0,70;0,40;3,40;1,20;6,40;2,40;9,40;8,30;19,20;18,50;30,10
