video_id;Videotitel;Veröffentlichungszeitpunkt des Videos;Dauer;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;„Mag ich“ und „Mag ich nicht“ im Vergleich (%);„Mag ich nicht“-Bewertungen;Im Feed angezeigt;Geschätzter Umsatz (EUR);Impressionen;Klickrate der Impressionen (%)
j0gEGDGzrXM;LIVE: Pressekonferenz der GDL zum sechstätigen Streik;22.01.2024;548;813;0;0;0;8279;21;0;;39940;287
VTyfSWZbEc8;Was tun gegen starke AfD? ntv-Reporterin Kuhnert bringt es auf den Punkt | #ntv #shorts;22.01.2024;37;956;0;0;0;3896;293;16206;;20148;71
VUcK1BI1Vb4;Ups! Was bohrt denn da im U-Bahn-Tunnel in Istanbul? | #ntv #istanbul #ubahn;22.01.2024;58;626;0;0;0;9022;9;8289;;19535;296
J7ivcNhYmT4;"""Auch wenn die AfD nicht da wäre, das Gedankengut ist ja noch da."" - Nouripour  #ntv #shorts";22.01.2024;26;974;0;0;0;2698;230;26143;;14576;333
HgMfRd3vTLI;Gegen den Rechtsruck: Zehntausende demonstrieren in ganz Deutschland | #ntv #shorts;22.01.2024;57;892;0;0;0;4667;112;10229;;11730;311
v9wV5QSpyRs;"CDU-General Linnemann: ""Dieser vierte Bahnstreik ist nicht verhältnismäßig"" | ntv #Frühstart";23.01.2024;365;3618;108;0;0;4249;314;0;;819638;167
2WLc0KY9M5s;"CDU-Generalsekretär Carsten Linnemann zum Bahnstreik: ""Ist nicht verhältnismäßig"" | #ntv #shorts";23.01.2024;44;791;0;0;0;5806;65;16195;;22283;292
K5F6VdairBY;Hündin mit sechs Beinen in Wales ausgesetzt | #ntv #shorts;23.01.2024;24;1002;0;0;0;90;8;9131;;11899;235
XsHafXQtQoI;San Diego (Kalifornien): Überschwemmungen nach Wintersturm | #ntv #shorts #kalifornien;23.01.2024;57;478;0;0;0;8148;5;4040;;9406;159
GuAi8x66QJo;Wassermassen legen Marshall-Inseln lahm | #ntv #shorts;23.01.2024;60;103;0;0;0;8472;11;4907;;8797;202
