video_id;Videotitel;Veröffentlichungszeitpunkt des Videos;Dauer;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;„Mag ich“ und „Mag ich nicht“ im Vergleich (%);„Mag ich nicht“-Bewertungen;Im Feed angezeigt;Geschätzter Umsatz (EUR);Impressionen;Klickrate der Impressionen (%)
MLFUWucIH_0;Montana: Ausgebüxter Zirkuselefant macht Kleinstadt unsicher | #ntv #shorts #elefant;17.04.2024;53;146;0;0;0;913;2;2759;;6705;173
5-hRuIIrRN8;"""Erwachsene können selber entscheiden, was sie konsumieren"" - Buschmann gegen Rauchverbot  | ntv";18.04.2024;361;1606;0;0;0;60;86;0;;478173;133
1bMypK3ncrg;"Russen rüsten ihren ""Schildkröten-Panzer"" auf - Prototyp wurde zerstört  | ntv";18.04.2024;101;5196;267;0;0;8882;19;0;;141251;1226
1PEm5VD1Y7E;"""Da scheint ja genügend Geld in der Kasse zu sein"" - Wissing zu Berlins 29-Euro-Ticket | ntv";18.04.2024;263;214;0;0;0;7872;10;0;;104593;116
qc9_Mo5NWVw;"""Wir werden die Wirtschaft stärken müssen"" - Strack-Zimmermann fordert Bürokratieabbau in der EU";18.04.2024;301;158;0;0;0;3295;59;0;;40518;307
_JgW_0g4sqo;Wegen SA-Parole: Thüringens AfD-Chef Björn Höcke steht heute vor Gericht. Was droht ihm nun? #ntv;18.04.2024;42;509;0;0;0;4727;87;11171;;17915;26
Kt7GUwVqkfI;Indonesien: Vulkanausbruch könnte Tsunami auslösen | #ntv #shorts #indonesia #vulkan;18.04.2024;57;771;0;0;0;9359;5;13868;;15542;266
7oBUmqxluQ8;"""Kindergrundsicherung kann nur generalüberholt kommen"" - FDP-Politiker Teutrine  | ntv #Frühstart";18.04.2024;287;88;0;0;0;50;5;0;;14711;142
AxZK0PWlynI;"""Frau Paus ist eher hinderlich"" - Jens Teutrine (FDP) zur geplanten Kindergrundsicherung #ntv";18.04.2024;50;548;0;0;0;7571;17;8140;;9809;377
JipkON_9eUQ;Spektakuläre Aufnahmen: Nordlichter tanzen über Island-Vulkan | #ntv #shorts #vulkan #northernlights;18.04.2024;58;265;0;0;0;100;0;3155;;8810;255
yIaXpXmXvyU;Gaza Stadt: Vier Tote bei Luftangriff auf Schule | #ntv #shorts #gaza #israel;18.04.2024;60;16;0;0;0;8333;2;2330;;7852;153
Rcctu8j-Dpw;"""Niemals hinnehmen"" - Scholz zu russischer Spionage - Auch in Polen Agent festgenommen  | ntv";19.04.2024;81;9414;169;0;0;5594;256;0;;1735271;191
89Y7qXIssFo;"Russischer Spionage-Akt ist ""Quasi-Kriegserklärung"" - Schmidt-Enboom zu Sabotageplänen  | ntv";19.04.2024;319;1959;124;0;0;6264;232;0;;367316;434
jWMMl2YB6XU;"""Wüsste nicht, ob ich in Deutschland bleiben könnte"" - CDU-Chef Merz zu Gründer-Perspektiven | ntv";19.04.2024;291;734;0;0;0;7162;84;0;;136048;634
VtRP2ezoPqY;"""Neue Qualität"" im Iran-Israel-Konflikt? - NATO-General von Sandrart zu den Konsequenzen";19.04.2024;311;746;48;0;0;8649;15;0;;119323;446
vqvhSsP6shs;Anschläge auf Waffenlieferungen geplant? - Deutsch-Russen in Untersuchungshaft | ntv;19.04.2024;126;510;20;0;0;7059;30;0;;117600;322
IW4z9vHoWmQ;"Iran spricht von ""absoluter Ruhe"" - Video soll Israels Angriff auf Isfahan zeigen | ntv";19.04.2024;99;1497;32;0;0;7523;27;0;;78900;693
r6rLnH-pUT4;Abschuss? Überschall-Bomber trudelt brennend zu Boden - Videos zeigen Tupolew in Russland  | ntv;19.04.2024;86;1918;74;0;0;9126;9;0;;64675;81
PvycSaPMcZI;LIVE: Pressekonferenz Annalena Baerbock beim G7-Außenministertreffen;19.04.2024;919;423;0;0;0;3008;93;0;;49715;31
g-XLF2XvE4s;"Spione in Deutschland: ""Russland führt hybriden Krieg in der EU"" - Rainer Munz aus Moskau";19.04.2024;21;1648;0;0;0;5892;571;99391;;48999;292
LxxuJgMHL2A;Russischer Überschall-Bomber stürzt brennend ab | #ntv #shorts #russland #ukraine #jet;19.04.2024;59;961;0;0;0;8293;112;65739;;45666;461
j4MWk5Al47M;LIVE: Pressekonferenz Nato-Generalsekretär Stoltenberg beim digitalen Treffen des Nato-Ukraine-Rats;19.04.2024;385;77;0;0;0;60;14;0;;36243;333
utqQZ4D3KZs;"""Die Ukraine braucht Hilfe von uns allen"" -  Britischer Handelsminister Greg Hands  | ntv";19.04.2024;284;127;0;0;0;6429;15;0;;28829;258
wNAa7P86s_o;Ukraine: Zerstörung in Dnipro durch russische Raketenangriffe | #ntv #shorts #ukraine #russland;19.04.2024;60;214;0;0;0;6951;50;19062;;23595;343
tLA-E0_ieKw;LIVE: Verleihung Freiheitspreis an Julia Nawalnaja beim Ludwig-Erhard-Gipfel;19.04.2024;1332;213;0;0;0;5641;17;0;;18571;368
NaaIFrhE3ik;"Augstein ""irrt"" durch Berlin: ""Geht der CDU um migrantische Kinder, nicht Biodeutsche | ntv";19.04.2024;214;30;6;0;0;6296;10;0;;16449;32
jQv8Ty3fx44;"""Lust machen auf die Überstunde"" - Lindner fordert ""Wirtschaftswende""  | ntv";19.04.2024;228;135;5;0;0;2581;23;0;;16282;409
KBK78KQwDmI;"""Raumfahrt ist so etwas wie die Champions League in der Technologie"" | ntv";19.04.2024;226;114;0;0;0;80;2;0;;15939;146
q-Zcj2QnfOQ;Promis zerreißen Musik-Clip: Laura Müllers veröffentlicht erste Single #ntv #shorts #michaelwendler;19.04.2024;47;808;0;0;0;4231;45;4361;;14924;667
ADZFlGu2Etg;Selbstverbrennung: Protest während Trump-Prozess schockt New York | ntv;20.04.2024;49;2103;250;0;0;7864;22;0;;177174;416
9wg_WhNcNiA;Rekord-Fallschirmsprung aus Stratosphäre - Russen landen mit Erfrierungen im Gesicht   | ntv;20.04.2024;140;711;85;0;0;8785;13;0;;67325;53
Vs6t8s1Wmds;"""1000 ATACMS in Ukraine-Paket"": Thiele: USA werden versuchen, Russen zu überraschen | ntv";21.04.2024;289;18524;433;0;0;7198;545;0;;1917488;447
aj2jkFWThmI;Chaos im Straßenverkehr: Wintereinbruch hält Einsatzkräfte weiter auf Trab | ntv;21.04.2024;121;7637;70;0;0;8895;19;0;;654623;131
RlbSQg7d6CY;"BDI -Präsident Russwurm -  ""Es muss sich jetzt etwas ändern.""";22.04.2024;201;1871;0;0;0;8727;41;0;;497935;139
Yt2gi8NUAIY;LIVE: Pressekonferenz FDP zur Gremiensitzung mit Marie-Agnes Strack-Zimmermann und Bijan Djin-Sarai;22.04.2024;850;1549;0;0;0;1682;356;0;;341633;261
izfcawerFoQ;Luftschlag auf Rafah: Baby überlebt Angriff im Bauch seiner getöteten Mutter | ntv;22.04.2024;103;3002;44;0;0;8371;43;0;;310963;318
ydIRTwKFbPI;"""Lassen Angriffe von FDP auf Leistungsträger nicht zu"" - SPD-Chef Lars Klingbeil im Frühstart | ntv";22.04.2024;499;689;20;0;0;4577;77;0;;194719;219
Xj0VeJM_qpg;Selfie-Einigkeit längst verflogen: Koalition des Krachs - wie die Ampel ihren Ruf verspielt | ntv;22.04.2024;157;776;9;0;0;6296;50;0;;174484;231
ApnK8eYoHhI;Ukraine erwartet Hilfspaket aus den USA - Wolfgang Richter (Oberst a.D.) im #ntv #ukraine - Talk;22.04.2024;47;253;0;0;0;7103;84;24693;;51594;38
SN-9F5TM0DY;USA einsame Spitze: Militärausgaben höher als zum Ende des Kalten Kriegs | ntv;22.04.2024;101;536;26;0;0;8427;14;0;;48953;65
uziPaYHbEGY;"""Die Rechnung geht nicht auf"" - Lars Klingbeil (SPD) im #ntv Frühstart";22.04.2024;53;796;0;0;0;6636;37;16891;;37194;484
Z0Cer13gXIU;LIVE: Pressekonferenz zur Quadriga-Militärübung;22.04.2024;1113;108;0;0;0;7419;16;0;;30671;267
X_EBEeJKNHI;"""Schneller! Noch schneller!"" - Scholz hat mit faulem Messe-Roboter zu kämpfen | ntv";22.04.2024;79;2340;27;0;0;8814;7;0;;29710;78
8u9Ue8xILPU;"Fünf der ""Großen Sieben"" berichten: ""Das wird eine spannende Woche an der Börse"" | ntv";22.04.2024;206;74;0;0;0;80;1;0;;16458;204
Xi4y1CXSYBc;"Siemens-Chef Busch: ""Ich hoffe, dass wir die richtigen Dinge tun, und zwar schnell genug"" | ntv";22.04.2024;307;75;0;0;0;7857;3;0;;15606;281
5JMv8KBHP5k;LIVE: Bundesvorsitzender Omid Nouripour (Bündnis 90/Die Grünen) zur Gremiensitzung;22.04.2024;684;18;0;0;0;1579;16;0;;14557;207
y8e7ojesubM;LIVE: Statement Bundekanzler Olaf Scholz bei der Hannover Messe;22.04.2024;155;154;0;0;0;20;12;0;;14195;394
CeCUzZDhA7Q;"Matthias Voelkel, CEO Börse Stuttgart: ""Es gibt nicht nur Sparer..."" | ntv";22.04.2024;249;44;0;0;0;6667;2;0;;14134;156
wPk5MVBZ3lg;Kastrationen bald Pflicht? - So schnell können aus zwei Katzen 12.000 werden | ntv;22.04.2024;124;95;0;0;0;8333;3;0;;13952;281
KTLfHVovoy0;In letzter Sekunde: Helfer retten Mann aus brennendem Unfallauto | #ntv #shorts #usa #unfall #feuer;22.04.2024;60;841;0;0;0;9708;5;17625;;11815;406
TIZS-5ZoEaY;Terroranschlag in Jerusalem: Auto fährt in Menschengruppe | #ntv #israel #jerusalem #palestine;22.04.2024;45;622;0;0;0;7614;21;17062;;9535;459
naVKpNjPZBY;Berlin: Diebe sprengen Geldautomaten - Geldscheine auf der Straße | #ntv #shorts #berlin #geld;22.04.2024;42;187;0;0;0;100;0;3099;;6701;236
17k9XHJWaJQ;China: Heftige Überflutungen bedrohen 127 Millionen Menschen in Guangdong | #ntv #shorts #china;22.04.2024;59;11;0;0;0;963;1;1232;;4690;288
TZy5p4VSrsM;"Front hält, neue Waffen kommen - Richter: Ob Moskaus Strategie aufgeht, ""ist zweifelhaft"" | ntv";23.04.2024;689;12022;407;0;0;8128;298;0;;1445499;481
xuzn-ersBoE;"Was Russland ""nicht haben kann, macht es kaputt"" - Militärexperte Lange im Frühstart  | ntv";23.04.2024;511;2568;286;0;0;8744;104;0;;451676;538
kNb8HjJgKqI;Angst vor Einkesselung wächst an der Front bei Kupjansk -- Kreml-Truppen intensivieren Druck | ntv;23.04.2024;113;587;82;0;0;8348;19;0;;79372;957
HQupLyuhqjg;AfD verliert Zustimmung, BSW und FDP über 5 Prozent | ntv #Trendbarometer;23.04.2024;984;649;7;0;0;5114;86;0;;76619;59
itas6qmF_yA;"""Doppelangriff auf Demokratie-Prinzip"" - Buschmann zur China-Spionage  | ntv";23.04.2024;319;58;10;0;0;4324;21;0;;25012;234
A9c_FujoopY;Schauriger Anblick: Zug fängt Feuer und rollt brennend durch die Stadt London | ntv;23.04.2024;84;324;24;0;0;9583;1;0;;23767;71
 -OEs5pliG1w;"""Gründen stärkt auch die Resilienz"" - SPD-Fraktionsvize Verena Hubertz | ntv #shorts";23.04.2024;59;147;0;0;0;6591;15;6515;;21671;485
SmiRRvFQjAs;LIVE: Rede Bundeskanzler Scholz beim Deutschen Bankentag;23.04.2024;1238;83;0;0;0;4667;8;0;;18915;259
1g3aM6ukcuw;"Gründerin Hubertz im Bundestag: ""In der SPD gab es definitiv Neid auf meine Karriere"" | ntv";23.04.2024;478;28;2;0;0;8125;6;0;;16920;236
LyRxLy1u0SQ;Malaysia: Helikopter Crash bei Militärübung - zehn Tote | #ntv #shorts #helicoptercrash #kualalumpur;23.04.2024;43;582;0;0;0;8571;13;21263;;15022;497
i9oWRCbYrfI;"""Mittrinken am Überleben vieler Brauereien"" - Bierdurst der Deutschen sinkt bedrohlich | ntv";23.04.2024;103;36;4;0;0;6667;4;0;;13526;291
QPZb-DKZPFk;Pro-Palästina Proteste von Studierenden spalten die USA | #ntv #shorts #palestine #usa #protest;23.04.2024;60;469;0;0;0;8393;9;6931;;10451;366
Eo5EbFB8Cp8;China: Staubteufel entsteht aus dem Nichts | #ntv #shorts #sturm;23.04.2024;60;522;0;0;0;9273;4;7177;;10075;353
g_1OmG7UcQk;LIVE: Statement Faeser zur China-Spionage;23.04.2024;142;20;0;0;0;30;7;0;;9371;19
8VezwzZOagA;Triebwerk fällt aus - Pilot meistert Landung auf Straße | #ntv #shorts #flugzeug;23.04.2024;45;927;0;0;0;9324;5;11604;;9242;431
vXcxrrxo0L8;Philippinen: Parkplatzfeuer zerstört diverse Autos | #ntv #shorts #feuer #brand;23.04.2024;43;237;0;0;0;7857;3;3100;;7064;235
f9cw83yP1oE;Heldenhafte Rettung mit einem Kran! Kind wird aus brennender Wohnung befreit | #ntv #shorts #china;23.04.2024;59;126;0;0;0;9362;3;5877;;5397;25
w7CcnfuXWno;"""Jeder, der arbeiten kann, muss das auch tun"" - SPD-Fraktionsvize Verena Hubertz | ntv #shorts";23.04.2024;59;41;0;0;0;7333;4;1832;;5078;161
 -rBm2cUcs7o;Haus in Delhi kippt vor Fertigstellung einfach um | #ntv #shorts #india;23.04.2024;46;373;0;0;0;9565;1;4391;;4466;446
SToQr-3obJo;Führt Ukraines Dilemma zum Dominoeffekt? Reisner zu Russlands Vorstoß nach Otscheretyne  | ntv;24.04.2024;337;14231;419;0;0;8839;294;0;;1828377;589
hxnvyIuTo60;"""Nichts Lebenswertes mehr"" in Charkiw - Mangott zu Russlands Angriffen  | ntv";24.04.2024;288;2165;178;0;0;7871;145;0;;479765;53
Ke96YJY3cKg;"""Die AfD ist eine Gefahr für Deutschland"" - Huber im Frühstart | ntv";24.04.2024;396;1210;8;0;0;1913;541;0;;378415;184
vTGOQSogg7Y;Nachts im Erdloch unter russischem Beschuss - ntv-Reporterin Sharma berichtet von der Front | ntv;24.04.2024;153;427;55;0;0;7917;35;0;;116375;328
ayTf6fGzOmM;LIVE: Pressekonferenz Steinmeier und Erdogan;24.04.2024;2021;848;0;0;0;7627;14;0;;65383;52
IxzTL3IugtE;Drohnenangriff: Ukraine greift russische Öllager an | #ntv #shorts #ukraine #russland;24.04.2024;57;1212;0;0;0;7987;159;56303;;29679;471
YFX9njJ9oTg;Mannheim: Machete in Bibliothek gebracht - Polizei erschießt Mann | #ntv;24.04.2024;60;3802;0;0;0;9352;43;59807;;23435;471
M2WLIyg57io;LIVE: Bundeskanzler Scholz und britischer Premierminister Sunak;24.04.2024;948;45;0;0;0;5833;10;0;;19277;308
0cxiRy9SLR4;"""Könnten im Juni erste Zinssenkung für Euroraum sehen"" - Bundesbank-Präsident Nagel  | ntv";24.04.2024;216;29;4;0;0;75;3;0;;18950;186
_KE72foVZIg;Freispruch nach Promillefahrt: Eigenbrauer-Urteil in Belgien - Körper produziert Alkohol | ntv;24.04.2024;88;75;3;0;0;9583;1;0;;16992;205
4yIxsPn1sVw;LIVE: Begrüßung mit militärischen Ehren durch Präsident Erdogan;24.04.2024;470;16;0;0;0;4167;7;0;;13339;226
45vx5G6WUy4;LIVE: Statement Heil zur Rentenanpassung;24.04.2024;274;16;0;0;0;7143;2;0;;11334;26
hv8FWMCxV7k;Ruckeliger Landeversuch: Lufthansa-Jumbo muss durchstarten | #ntv #shorts #flugzeug;24.04.2024;52;1247;0;0;0;90;13;16477;;10932;381
x53Ko2AHUR4;Bei Gedenkfeier in Armenien: Türkische Flagge angezündet | #ntv #shorts;24.04.2024;60;659;0;0;0;6769;21;8038;;10747;3
N8RtTDl8P4U;AfD steht auf Putins Payroll - Martin Huber (CSU) im #ntv Frühstart #shorts #afd #russland #putin;24.04.2024;30;93;0;0;0;3656;288;13335;;8216;231
PRcuqtYXVl0;Ballons und Süßigkeiten sollen vermissten Arian locken - Kamera zeichnet Verschwinden auf | ntv;25.04.2024;81;20236;197;0;0;9481;22;0;;696553;326
biPKACxKD0s;"""Die Krim ist nicht mehr sicher"" - Munz zu Raketenlieferungen aus den USA  | ntv";25.04.2024;256;5609;247;0;0;8772;142;0;;463649;892
cuwwDTMLiJc;"""Durch den Angriffskrieg von Putin über uns gekommen"" - Habeck zur Wirtschaftskrise | ntv";25.04.2024;251;2819;92;0;0;3159;589;0;;374105;37
YDa_Kt2MxD4;NATO-Chef Stoltenberg landet im Kampfjet in Rostock-Laage und schwärmt | ntv;25.04.2024;315;4078;18;0;0;8765;40;0;;200443;751
2K5AHdVs3uQ;LIVE: Aktuelle Stunde im Bundestag zum AfD-Spionageverdacht;25.04.2024;2207;95;0;0;0;50;14;0;;29765;243
Vh4gKuZ0dzM;Sie haben die Lage nicht mehr im Griff - Johann Wadephul (CDU) im #ntv Frühstart;25.04.2024;43;732;0;0;0;3764;285;24633;;29386;39
vvKXcrk_0CQ;"""Bundeswehr hat immer noch von allem zu wenig"" - Wehrbeauftragte Högl im Jahresbericht  | ntv";25.04.2024;112;107;6;0;0;80;7;0;;28658;324
U4zMj-CBcUQ;"""Stabilität des deutschen Mittelstands macht zuversichtlich"" - Deutsche-Bank-Chef Sewing | ntv";25.04.2024;338;93;2;0;0;7692;3;0;;22598;199
tgbeJ3InfFI;Jerusalem: Neues Geisel-Video der Hamas entfacht Proteste | #ntv #shorts #israel #hamas;25.04.2024;60;162;0;0;0;8298;8;5316;;14237;489
HZbdqceith0;Brasilien: Müllwagen kippt in Kurve um | #ntv #shorts #unfall;25.04.2024;52;666;0;0;0;8704;7;8881;;9823;264
YnCei6phTvE;Paris: Flügel der Moulin-Rouge-Mühle auf Straße gestürzt | #ntv #shorts #paris #moulinrouge;25.04.2024;59;354;0;0;0;963;1;5121;;9808;353
mohwrTBHcAA;US-Firma verkauft Roboterhund mit Flammenwerfer | #ntv #shorts;25.04.2024;46;398;0;0;0;8333;7;7730;;7899;51
8MA11-r-1Pk;Rumänien: Wolf hinter Radfahrer her | #ntv #shorts #rumänien #wolf;26.04.2024;55;1354;0;0;0;8363;46;26698;;34350;516
l_66e9Mc3WA;LIVE: Pressekonferenz Deutscher Bauernverband zum Tag des Wolfes;26.04.2024;611;109;0;0;0;7568;9;0;;27907;211
0xub5XdPvuQ;Israelische Siedler stürmen Al-Aksa-Moschee mit Polizeischutz - Palästinenser wird Zutritt verwehrt;26.04.2024;56;770;0;0;0;6632;128;39003;;20435;41
6K5bp1mCotM;Brasilien: Flugzeug schießt über Landebahn hinaus | #ntv #shorts #flugzeug;26.04.2024;53;166;0;0;0;9302;3;8378;;11996;338
t_fjJXCPLho;Madrid: Betrunkene Geisterfahrerin von Polizei gestoppt | #ntv #shorts #madrid;26.04.2024;49;685;0;0;0;9167;13;16621;;11792;354
9a9AB8e8dZo;Dichter Sandsturm färbt Libyens Hauptstadt orangerot | #ntv #shorts #sandstorm #libyen;26.04.2024;44;56;0;0;0;85;3;3023;;6368;11
VeHYPKqGorc;"Rentner-Einheit kämpft freiwillig: ""Steppenwölfe"" ziehen für Ukraine in den Krieg | ntv";29.04.2024;137;3464;0;0;0;9374;32;0;;231662;927
8aIDdT1sM34;"Milliardärssteuer ""würde der Welt sehr weiterhelfen"" - Svenja Schulze (SPD) im #ntv Frühstart";29.04.2024;488;106;2;0;0;5116;21;0;;22958;241
YLeDqGnCHc8;LIVE: Pressekonferenz Bundeskanzler Scholz und montenegrinischer Premierminister Spajic;29.04.2024;930;61;0;0;0;5417;22;0;;19616;323
03l3IR_W6s8;Ukrainische Jak-52 holt russische Drohne vom Himmel | #ntv #shorts #ukraine #drohne #russland;29.04.2024;44;3354;0;0;0;7542;131;61218;;14741;375
AE9edb8TfSE;Reichsbürger-Gruppe um Prinz Reuß: Prozess-Auftakt in Stuttgart | #ntv #shorts;29.04.2024;54;540;0;0;0;7324;19;6174;;10439;249
c20c-21peFk;"""Es muss einen sicheren Einstieg in die Rente geben"" - Svenja Schulze (SPD) im #ntv Frühstart";29.04.2024;48;660;0;0;0;6667;23;8218;;10097;23
BAzlKhXkKoc;"""Steuer auf Milliardäre (..) wäre einfach fair"" - Svenja Schulze (SPD) im #ntv Frühstart";29.04.2024;18;1054;0;0;0;7285;60;21434;;8080;178
t5XmptMhfnA;Libanon: Israelische Luftwaffe attackiert Hisbollah-Miliz | #ntv #shorts #israel #libanon #airstrike;29.04.2024;46;256;0;0;0;8235;9;4533;;5789;244
BrnHBc_CceA;"""Unternehmer haben Interesse an gestiegenen Löhnen"" - Ricarda Lang, Grünen-Chefin im Frühstart | ntv";30.04.2024;488;461;10;0;0;323;109;0;;89574;304
MNCNZ1O_vvE;"Russische Offensive: ""Schildkrötenpanzer"" unter Beschuss | #ntv #shorts";30.04.2024;36;245;0;0;0;9099;10;12102;;23683;391
Ax9EEEIeEi4;Russen beschießen Odessa - viele Tote und Verletzte | #ntv #shorts #ukraine #odessa;30.04.2024;59;713;0;0;0;7865;38;17854;;22609;341
z7yNlVLbxv8;Leopard 2 in Moskau - Russland führt Kriegsbeute vor | #ntv #shorts #ukraine #russland #putin;30.04.2024;48;2278;0;0;0;8255;96;36650;;20919;476
UNdSb3QKSPI;LIVE: Justizminister Buschmann zu missbräuchlichen Vaterschaftsanerkennungen;30.04.2024;618;23;0;0;0;8571;6;0;;13232;37
PFOb8vIl3No;Zeugen filmen Schwert-Angreifer im Nordosten Londons | #ntv #shorts #london;30.04.2024;59;363;0;0;0;9167;2;3668;;7309;475
zTXprAUuwcE;"""Eine Frage der Gerechtigkeit"" - Ricarda Lang, Grünen-Chefin zum Mindestlohn im #ntv Frühstart";30.04.2024;60;99;0;0;0;2593;20;2768;;7296;422
XBwxLajJb_0;Wehrpflicht ist nicht der richtige Weg - Ricarda Lang, Grünen-Chefin im #ntv Frühstart;30.04.2024;27;2666;0;0;0;2115;261;19901;;6293;37
HmVI9pLKfWc;"Marcel Fratzscher: ""Wir brauchen die klügsten Köpfe, um zukunftsfähig zu werden""";01.05.2024;290;95;0;0;0;5577;23;0;;23454;252
TycTMl9671A;"""Neue Schulden schnüren uns die Gurgel ab"" -  Mathias Middelberg, CDU-Finanzpolitiker im Frühstart";02.05.2024;374;865;15;0;0;549;69;0;;341725;111
SMiB7hQhx98;98-jährige Ukrainerin entkommt Russen zu Fuß | #ntv;02.05.2024;175;468;76;0;0;8363;46;0;;78863;551
9ZVp62aE29M;Das ganz Video findet ihr unter dem angepinnten Link | #ntv #shorts #ukraine;02.05.2024;52;713;0;0;0;8533;77;30613;;41725;322
_UXcrZW-y8Y;Ukraine: Drohnenaufnahmen zeigen Zerstörung in Tschassiw Jar | #ntv #shorts #ukraine;02.05.2024;60;415;0;0;0;8349;35;29628;;24768;346
kWYqUNdjHbI;"""Das ist wie im ganz normalen Leben auch"" - Mathias Middelberg (CDU) zum Bundeshaushalt #ntv";02.05.2024;42;642;0;0;0;7987;32;16222;;11964;331
9B8riuav6rE;Mannheim: Kleinflugzeug kollidiert bei Notlandung mit Oberleitungsmast | #ntv #shorts;02.05.2024;56;477;0;0;0;9063;3;8949;;9334;28
RnSQ627I4Bc;China: Tote nach Schnellstraßen-Einsturz | #ntv #shorts #china;02.05.2024;53;395;0;0;0;8734;10;13983;;9030;24
9MzWviefiGA;China: Häuser bei Erdrutsch mitgerissen | #ntv #shorts #china;02.05.2024;45;358;0;0;0;7308;7;4816;;6277;17
ZaUMKszdS6k;Angriff in Deutschland: Journalist berichtet von Attacke | ntv;03.05.2024;103;4692;119;0;0;7177;190;0;;1000264;198
9LX25PraHeU;LIVE: Statement Finanzminister Christian Lindner zur Zoll-Jahresbilanz 2023;03.05.2024;656;84;0;0;0;7419;8;0;;20816;214
xvK-cEFCf1g;Connecticut: Tanklaster geht nach Unfall in Flammen auf | #ntv #shorts;03.05.2024;58;705;0;0;0;9238;8;11112;;18277;328
OPBUtkQTrwY;Niedersachen: Kleinlaster kracht in Wohnhaus | #ntv #shorts;03.05.2024;60;13;0;0;0;9744;1;5566;;11671;223
gWKA5xgFiAg;USA: Kleinflugzeug überschlägt sich fast bei Bruchlandung auf Long Island | #ntv #shorts;03.05.2024;52;77;0;0;0;9211;3;5081;;7685;18
0Pd10KAAW-0;"""Die Ukraine versucht, Brennpunkte zu schaffen"" - Reisners Blick auf die Front | ntv";06.05.2024;445;15484;633;0;0;8857;299;0;;1562028;563
RliGGEQncKo;"Wegen ""fatalem Fehler"" läuft Zeit ""militärisch gegen uns - General zur militärischen Lage | ntv";06.05.2024;764;13309;268;0;0;6119;756;0;;1485813;544
Wi4xavcpT2k;SPD-Politiker schwer verletzt: Angriffe auf Wahlhelfer im Fokus | ntv;06.05.2024;115;6017;34;0;0;2647;275;0;;835778;12
RyasQpckGY8;"ntv-Reporterin Blufarb sicher: Rafah-Evakuierung  ""ist der erste Schritt zur Bodenoffensive"" | ntv";06.05.2024;157;1907;16;0;0;5189;51;0;;372029;181
UDCU6ocnv0o;Hat Russlands Rüstungsindustrie noch genügend Kapazitäten? | #ntv #shorts #ukraine #russland;06.05.2024;56;7030;0;0;0;8853;229;216427;;328588;435
qhklwteBco4;Attentat im Weißen Haus? - Mögliche US-Vizepräsidentin will Bidens Hund erschießen | ntv;06.05.2024;170;1349;0;0;0;5395;35;0;;270903;286
g8mQLvX6if8;LIVE: Rede Bundesvorsitzender der CDU Friedrich Merz beim CDU-Bundesparteitag;06.05.2024;4971;1009;0;0;0;5933;61;0;;122570;336
AxH79z9tTAE;"""Deutschland ist so wenig links wie lange nicht"" - Spahn zu CDU-Parteitag | ntv";06.05.2024;257;239;6;0;0;3651;40;0;;62615;188
jaqyXZ_xTR8;"""Eine Art Burgfrieden"" in der CDU -  Politologe: Bei Merz und der K-Frage lauert ein Aber | ntv";06.05.2024;259;118;0;0;0;4737;10;0;;57316;168
bKqKwaaKETM;CSU-Chef Söder: Ein Ei mit meinem Konterfei in Merz' Büro wäre gut | ntv #Frühstart;06.05.2024;502;166;13;0;0;6429;15;0;;33810;27
CCE1gNs4IC4;Geld verdienen gegen Langeweile - Für viele Rentner werden Nebenjobs wichtiger  | ntv;06.05.2024;129;49;6;0;0;5789;8;0;;18094;263
a4KLHzLpjMk;Gefahr, Übertragung, Ausbreitung: Was man zur Candida-auris-Pilzinfektion wissen muss | ntv;06.05.2024;83;331;7;0;0;8679;7;0;;16346;516
3cmsWsq2UvE;Israel: Hamas beschießt israelischen Grenzort Kerem Schalom - Update: Drei Soldaten getötet | #ntv;06.05.2024;60;98;0;0;0;8718;5;7413;;15491;371
79HPaytzOo0;USA: Kirchenbesucher versucht Pastor zu erschießen | #ntv #shorts;06.05.2024;60;342;0;0;0;9804;1;6618;;10387;544
sw95lgScAuo;"""Das ist die Vorstufe"" - Markus Söder (CSU) im #ntv Frühstart";06.05.2024;24;151;0;0;0;5942;28;8731;;9508;312
XJhVGQH_xv8;"Putin ""spricht vielen Russen aus dem Herzen"" - Munz zur Rede nach dem Amtseid  | ntv";07.05.2024;963;19578;227;0;0;8586;418;0;;1463581;436
LMiTqS6FBbQ;"""Simpel, aber effektiv"": Thiele analysiert Russlands Schildkrötenpanzer | ntv";07.05.2024;151;10625;0;0;0;8627;84;0;;743667;753
Qe6rPwFlS_A;AfD rutscht weiter ab, Union baut Führung aus | ntv Trendbarometer;07.05.2024;996;2576;11;0;0;3404;248;0;;175812;524
pkCfCfilfAY;LIVE: Amtseinführung Wladimir Putin;07.05.2024;870;1346;0;0;0;6584;69;0;;108507;72
K7fJrzBrihc;"Wiederholungstäter Höcke nutzt weiter SA-Parolen - Von Lucke: ""geschicktes Spiel""  | ntv";07.05.2024;221;1317;20;0;0;4137;146;0;;82506;666
3DEXq6k89zc;Eid in gold-glänzender Halle: Putin tritt eigene Nachfolge an | ntv;07.05.2024;81;370;52;0;0;7526;24;0;;78382;338
ptuUUKkuqhQ;LIVE: Statement Verteidigungsminister Boris Pistorius;07.05.2024;357;209;0;0;0;7959;30;0;;50520;644
