video_id,title,publish_date,video_length_seconds,privacy_status,wiedergabezeit_minuten,durchschnittliche_wiedergabedauer,durchschnittliche_wiedergabedauer_prozent,gewonnene_abonnenten,verlorene_abonnenten,aufrufe,likes,dislikes,geteilte_inhalte,kommentare,audience_female_age18-24,audience_male_age18-24,audience_female_age25-34,audience_male_age25-34,audience_female_age35-44,audience_male_age35-44,audience_female_age45-54,audience_male_age45-54,audience_female_age55-64,audience_male_age55-64,audience_female_age65-,audience_male_age65-,audience_female_age13-17,audience_male_age13-17,Neue Zuschauer,Klicks auf Abspannelement,Klicks auf Infokartenteaser,Klicks auf Infokarte,Mag ich und Mag ich nicht im Vergleich (%),Mag ich nicht-Bewertungen,Im Feed angezeigt,Geschätzter Umsatz (EUR),Impressionen,Klickrate der Impressionen (%),Thema,Bewertung_Titel,Gestaltung_Thumbnail
YDa_Kt2MxD4,NATO-Chef Stoltenberg landet im Kampfjet in Rostock-Laage und schwärmt | ntv,2024-04-25T15:19:29Z,315,public,43620,75,23.84,11,0,34848,284,40,54,70,0.2,1.3,0.5,4.1,1.4,10.9,1.8,15.3,3.7,24.5,5.6,30.6,,,4078,18,0,0,8765,40,0,,200443,751,,,
2K5AHdVs3uQ,LIVE: Aktuelle Stunde im Bundestag zum AfD-Spionageverdacht,2024-04-25T13:10:00Z,2207,public,5460,325,14.74,3,0,1007,14,14,3,0,,,,,,11.3,,19.2,,14.2,17.5,37.9,,,95,0,0,0,50,14,0,,29765,243,,,
Vh4gKuZ0dzM,Sie haben die Lage nicht mehr im Griff - Johann Wadephul (CDU) im #ntv Frühstart,2024-04-25T12:39:50Z,43,public,7140,29,69.25,7,0,14388,172,285,41,0,0.1,1.5,0.3,4.5,0.5,7.2,1.6,10.2,6.0,21.7,15.8,30.6,,,732,0,0,0,3764,285,24633,,29386,39,,,
HZbdqceith0,Brasilien: Müllwagen kippt in Kurve um | #ntv #shorts #unfall,2024-04-25T11:21:10Z,52,public,2106,27,53.57999999999999,1,0,4536,47,7,22,0,0.6,3.3,1.1,7.5,0.8,13.3,1.9,13.5,5.2,23.3,7.3,22.3,,,666,0,0,0,8704,7,8881,,9823,264,,,
mohwrTBHcAA,US-Firma verkauft Roboterhund mit Flammenwerfer | #ntv #shorts,2024-04-25T11:06:27Z,46,public,1522,23,51.38,1,0,3865,35,7,65,0,,4.8,0.0,13.8,0.8,20.4,0.5,15.9,1.7,22.5,2.1,17.5,,,398,0,0,0,8333,7,7730,,7899,51,,,
cuwwDTMLiJc,"""Durch den Angriffskrieg von Putin über uns gekommen"" - Habeck zur Wirtschaftskrise | ntv",2024-04-25T09:49:04Z,251,public,41791,116,46.3,9,0,21577,272,589,199,664,0.2,1.1,0.7,4.2,1.6,8.8,3.0,10.7,8.6,20.0,15.9,25.1,,,2819,92,0,0,3159,589,0,,374105,37,,,
YnCei6phTvE,Paris: Flügel der Moulin-Rouge-Mühle auf Straße gestürzt | #ntv #shorts #paris #moulinrouge,2024-04-25T09:34:10Z,59,public,942,23,39.45,1,0,2429,26,1,8,0,,5.2,,11.8,3.6,14.9,4.2,10.7,6.0,16.5,9.1,18.0,,,354,0,0,0,963,1,5121,,9808,353,,,
tgbeJ3InfFI,Jerusalem: Neues Geisel-Video der Hamas entfacht Proteste | #ntv #shorts #israel #hamas,2024-04-25T09:32:46Z,60,public,2518,41,69.04,5,0,3648,39,8,8,3,,,,5.5,2.7,10.0,2.9,10.3,8.4,15.4,17.3,27.6,,,162,0,0,0,8298,8,5316,,14237,489,,,
biPKACxKD0s,"""Die Krim ist nicht mehr sicher"" - Munz zu Raketenlieferungen aus den USA  | ntv",2024-04-25T08:03:54Z,256,public,186777,160,62.67,64,5,69851,1014,142,65,182,0.1,0.6,0.4,2.8,0.7,8.6,1.3,13.6,3.3,26.3,7.3,34.9,,,5609,247,0,0,8772,142,0,,463649,892,,,
PRcuqtYXVl0,Ballons und Süßigkeiten sollen vermissten Arian locken - Kamera zeichnet Verschwinden auf | ntv,2024-04-25T07:00:58Z,81,public,60939,37,46.63,29,1,96799,402,22,177,145,1.4,2.2,4.4,4.6,9.2,6.0,9.7,5.0,15.9,6.9,23.1,11.7,0.0,0.0,20236,197,0,0,9481,22,0,,696553,326,,,
ayTf6fGzOmM,LIVE: Pressekonferenz Steinmeier und Erdogan,2024-04-24T13:42:27Z,2021,public,29447,416,20.59,11,0,4246,45,14,23,0,,2.6,1.2,18.2,3.0,20.6,2.3,18.9,2.4,12.8,4.7,13.3,,,848,0,0,0,7627,14,0,,65383,52,,,
M2WLIyg57io,LIVE: Bundeskanzler Scholz und britischer Premierminister Sunak,2024-04-24T11:57:11Z,948,public,2568,205,21.67,0,0,750,14,10,7,0,,,,9.5,,11.0,,17.9,4.9,29.3,6.5,20.9,,,45,0,0,0,5833,10,0,,19277,308,,,
Ke96YJY3cKg,"""Die AfD ist eine Gefahr für Deutschland"" - Huber im Frühstart | ntv",2024-04-24T11:56:00Z,396,public,17228,104,26.27,7,1,9936,128,541,44,607,0.3,4.5,1.2,10.2,1.6,11.6,3.1,10.5,7.0,16.2,12.4,21.4,,,1210,8,0,0,1913,541,0,,378415,184,,,
45vx5G6WUy4,LIVE: Statement Heil zur Rentenanpassung,2024-04-24T11:08:03Z,274,public,745,110,40.32,0,0,405,5,2,2,0,,,,,,,,,10.0,28.0,19.0,43.0,,,16,0,0,0,7143,2,0,,11334,26,,,
4yIxsPn1sVw,LIVE: Begrüßung mit militärischen Ehren durch Präsident Erdogan,2024-04-24T10:44:24Z,470,public,605,96,20.45,0,0,378,5,7,3,0,,,,,,,,,,,,100.0,,,16,0,0,0,4167,7,0,,13339,226,,,
x53Ko2AHUR4,Bei Gedenkfeier in Armenien: Türkische Flagge angezündet | #ntv #shorts,2024-04-24T10:09:08Z,60,public,1556,28,46.81,3,0,3325,44,21,14,0,,2.1,,11.0,,18.4,0.8,14.0,4.7,17.4,9.0,22.6,,,659,0,0,0,6769,21,8038,,10747,3,,,
vTGOQSogg7Y,Nachts im Erdloch unter russischem Beschuss - ntv-Reporterin Sharma berichtet von der Front | ntv,2024-04-24T09:58:59Z,153,public,15193,100,65.53,5,1,9092,133,35,15,50,,2.0,0.3,6.7,0.7,12.7,0.9,17.0,2.9,23.7,5.6,27.5,,,427,55,0,0,7917,35,0,,116375,328,,,
hv8FWMCxV7k,Ruckeliger Landeversuch: Lufthansa-Jumbo muss durchstarten | #ntv #shorts #flugzeug,2024-04-24T09:45:59Z,52,public,4041,30,58.71,5,1,7944,117,13,38,1,,5.0,0.8,7.8,0.9,11.0,1.5,11.9,3.4,21.9,8.1,27.7,,,1247,0,0,0,90,13,16477,,10932,381,,,
IxzTL3IugtE,Drohnenangriff: Ukraine greift russische Öllager an | #ntv #shorts #ukraine #russland,2024-04-24T09:27:46Z,57,public,16780,28,50.67,16,0,34862,631,159,73,0,0.1,1.6,0.3,5.3,0.7,10.2,1.3,13.1,3.9,23.5,8.6,31.1,,,1212,0,0,0,7987,159,56303,,29679,471,,,
YFX9njJ9oTg,Mannheim: Machete in Bibliothek gebracht - Polizei erschießt Mann | #ntv,2024-04-24T08:26:51Z,60,public,13727,25,42.68,18,1,32160,621,43,178,0,0.6,4.1,1.3,11.3,2.1,17.3,2.9,16.4,4.5,19.0,6.2,14.3,,,3802,0,0,0,9352,43,59807,,23435,471,,,
N8RtTDl8P4U,AfD steht auf Putins Payroll - Martin Huber (CSU) im #ntv Frühstart #shorts #afd #russland #putin,2024-04-24T08:25:57Z,30,public,3614,24,81.07,4,1,8918,166,288,71,0,,,0.2,2.8,0.3,6.1,1.0,9.2,4.9,22.0,15.4,38.1,,,93,0,0,0,3656,288,13335,,8216,231,,,
_KE72foVZIg,Freispruch nach Promillefahrt: Eigenbrauer-Urteil in Belgien - Körper produziert Alkohol | ntv,2024-04-24T06:15:09Z,88,public,759,52,59.14,0,0,876,23,1,19,3,,,,,,19.5,,23.2,,20.5,11.4,25.4,,,75,3,0,0,9583,1,0,,16992,205,,,
HQupLyuhqjg,"AfD verliert Zustimmung, BSW und FDP über 5 Prozent | ntv #Trendbarometer",2024-04-23T16:56:51Z,984,public,25006,218,22.17,5,0,6879,90,86,18,124,,1.5,,6.4,0.8,10.7,2.2,12.8,5.5,21.6,9.9,28.7,,,649,7,0,0,5114,86,0,,76619,59,,,
itas6qmF_yA,"""Doppelangriff auf Demokratie-Prinzip"" - Buschmann zur China-Spionage  | ntv",2024-04-23T16:57:11Z,319,public,1522,94,29.62,0,0,967,16,21,2,26,,,,,,11.5,,9.7,4.6,25.8,6.9,41.5,,,58,10,0,0,4324,21,0,,25012,234,,,
Eo5EbFB8Cp8,China: Staubteufel entsteht aus dem Nichts | #ntv #shorts #sturm,2024-04-23T15:50:47Z,60,public,1320,25,43.0,2,0,3071,51,4,7,0,1.0,6.8,1.3,15.5,1.0,18.1,1.7,12.3,4.5,15.8,7.6,14.5,,,522,0,0,0,9273,4,7177,,10075,353,,,
vXcxrrxo0L8,Philippinen: Parkplatzfeuer zerstört diverse Autos | #ntv #shorts #feuer #brand,2024-04-23T14:57:24Z,43,public,483,17,40.21,1,0,1679,11,3,3,0,,,,11.4,,17.5,3.0,16.1,4.7,24.3,6.4,16.7,,,237,0,0,0,7857,3,3100,,7064,235,,,
8VezwzZOagA,Triebwerk fällt aus - Pilot meistert Landung auf Straße | #ntv #shorts #flugzeug,2024-04-23T14:44:09Z,45,public,2252,20,46.34,0,0,6482,69,5,10,0,0.3,3.1,,6.8,0.8,11.0,1.8,12.5,5.0,21.8,9.9,27.0,,,927,0,0,0,9324,5,11604,,9242,431,,,
f9cw83yP1oE,Heldenhafte Rettung mit einem Kran! Kind wird aus brennender Wohnung befreit | #ntv #shorts #china,2024-04-23T14:32:49Z,59,public,1157,23,39.85,1,0,2953,44,3,0,0,,3.5,0.8,9.7,2.0,15.7,2.1,14.6,4.9,18.3,9.8,18.7,,,126,0,0,0,9362,3,5877,,5397,25,,,
QPZb-DKZPFk,Pro-Palästina Proteste von Studierenden spalten die USA | #ntv #shorts #palestine #usa #protest,2024-04-23T13:46:27Z,60,public,1249,22,37.44,0,0,3338,47,9,7,0,,3.3,1.3,11.6,1.9,14.8,2.3,15.6,5.1,18.4,8.4,17.2,,,469,0,0,0,8393,9,6931,,10451,366,,,
