video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;aufrufe;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Klickrate der Impressionen (%);Thema;Bewertung_Titel;Gestaltung_Thumbnail
E0fbDI_gLEY;"Waffenverbotszonen ""schon davor geplant"" - Innenminister Maier (SPD) zu Sicherheit | ntv";28.08.2024 19:28;150;383;58;39,07;1;1;393;5;6;4;10;;;;;;;;;;;;;;;10;1;0;0;6;0;16483;1,53;Politik;7;
45vx5G6WUy4;LIVE: Statement Heil zur Rentenanpassung;24.04.2024 13:08;274;745;110;40,32;0;0;405;5;2;2;0;;;;;;;;;100,0;280,0;190,0;430,0;;;16;0;0;0;2;0;11334;2,6;Live;7;
BaTOPKUa76g;Schüler wünschen sich mehr Hilfe bei Berufsorientierung, zeigt Studie der Bertelsmann-Stiftung | ntv;12.06.2024 20:27;103;207;41;40,59;0;2;298;7;3;4;2;;;;;;;;;;;;;;;24;1;0;0;3;0;15818;1,19;Sonstiges;6;
c-ANHlet4Zo;Von London bis nach Lagos: Frau reist mit klapprigem Auto allein durch Westafrika | ntv;17.04.2024 07:43;171;474;69;40,83;1;1;408;8;2;4;6;;;;;;;;;;;;;;;46;1;0;0;2;0;12545;2,2;Sonstiges;7;
5fjt8WutLzw;Versand, Preis, Service: Welcher Paketdienst ist der Beste? | ntv Service;27.11.2024 08:00;257;895;106;41,54;0;0;503;11;4;6;8;;;;;;;;1000,0;;;;;;;70;2;0;0;4;0;23051;1,14;Sonstiges;7;
4n3wh4lku24;Erkältungsmythen unter der Lupe - Was stimmt? Was hilft? | ntv Ratgeber;18.01.2024 10:21;271;1075;113;41,98;1;2;567;19;1;8;0;;;;;;;;;;371,0;186,0;443,0;;;54;1;0;0;1;0;19702;1,36;Sonstiges;7;
VJxCe9PQY0A;"""Hab' ich was nicht mitgekriegt?"" - Daum muss bei Frage zum FC Bayern lachen | ntv";14.03.2024 06:51;150;712;64;43,09;0;1;661;10;1;2;1;;;;213,0;;298,0;;;;234,0;;255,0;;;58;3;0;0;1;0;18671;2,19;Krieg;8;
HqZfqXLnOfM;"""Kann sein, dass es weiter bullish läuft"" - Finanzcoach Carmen Mayer | ntv Geldanlage-Check";10.04.2024 17:37;224;1089;97;43,69;0;0;668;5;5;7;7;;;;;;;;;;;;1000,0;;;201;2;0;0;5;0;15352;2,8;Wirtschaft;6;
YiPgSk5cV6I;"""X-Tage-Woche"" ist sinnvoller - Arbeitsmarkt-Experte zum Acht-Stunden-Tag | ntv";08.07.2024 21:09;254;1067;111;43,86;0;1;575;5;2;10;4;;;;;;410,0;;590,0;;;;;;;26;3;0;0;2;0;21374;1,69;Wirtschaft;7;
uyU-To7LDxQ;"Hamburger Dom: Besucher in ""Höllenblitz"" Geisterbahn gefangen | #ntv #shorts";16.04.2024 15:36;53;343;23;44,01;0;0;883;9;1;2;0;;;;;;625,0;;;138,0;238,0;;;;;164;0;0;0;1;2429;7228;2,12;Sonstiges;7;
FX0Hh3c5HnY;"""Eine gute Aktie ist wie ein guter Ehemann"" | ntv";12.06.2024 20:38;201;1083;89;44,59;0;0;725;15;3;3;3;;;;;;337,0;;;116,0;198,0;;349,0;;;115;7;0;0;3;0;18977;2,15;Sonstiges;6;
7T7ZUwwz1nE;Innenstadt-Freizeitpark als Chance für den Einzelhandel?  | ntv;04.06.2024 15:35;110;328;49;0,0;0;0;400;5;1;1;5;;;;;;404,0;;236,0;;;;360,0;;;26;3;0;0;1;0;11442;2,26;Wirtschaft;8;
8u9Ue8xILPU;"Fünf der ""Großen Sieben"" berichten: ""Das wird eine spannende Woche an der Börse"" | ntv";22.04.2024 14:09;206;950;92;45,15;0;0;613;4;1;3;3;;;;;;;;;112,0;281,0;146,0;461,0;;;74;0;0;0;1;0;16458;2,04;Sonstiges;7;
FrctaUmUUrU;"""Ganz besonderes Lebensgefühl"": Hausboot-Boom in London schafft Wohnraum auf dem Wasser | ntv";02.09.2024 10:31;115;381;52;45,23;0;0;440;9;1;3;2;;;;;;276,0;;;;;487,0;237,0;;;32;0;0;0;1;0;14888;1,8;Sonstiges;6;
5zr57ym8fv4;"Illegale Rodung und Vertreibung: Spur ""schmutziger Baumwolle"" führt bis zu H&M und Zara | ntv";17.04.2024 09:23;89;486;40;45,42;0;0;722;9;0;6;5;;;;;;178,0;;;;233,0;217,0;372,0;;;58;4;0;0;0;0;20141;1,71;Sonstiges;6;
a8cHxQISIkU;"""Piano-Bombing"" - Künstler-Duo bringt Klavier-Musik in Hannovers Straßen | ntv";09.03.2024 10:08;122;985;57;47,35;2;0;1024;22;1;63;0;;;;;;344,0;;;;336,0;;321,0;;;306;0;0;0;1;0;21004;1,55;Sonstiges;7;
LhwfqfK08hI;Künstliche Intelligenz wird menschlicher | ntv;14.05.2024 13:38;119;559;56;47,37;0;0;596;8;0;8;8;;;;;;409,0;;318,0;;;;273,0;;;196;0;0;0;0;0;12564;1,88;Sonstiges;6;
Q_UF2SwhgCM;Schluss mit Schnappschüssen - Japanische Stadt zieht Sichtschutz vor Fuji hoch | ntv;23.05.2024 08:16;182;1158;87;48,16;0;0;793;14;2;12;2;;;;194,0;;313,0;;222,0;;271,0;;;;;60;5;0;0;2;0;15767;3,09;Sonstiges;7;
7lmbUWdHNGo;Preissteigerung beim Kaffee - damit müssen Verbraucher rechnen | #ntv;27.11.2024 13:30;94;355;45;48,62;0;0;467;8;4;7;5;;;;;;;;;;532,0;;468,0;;;36;0;0;0;4;975;10572;1,63;Sonstiges;8;
g_1OmG7UcQk;LIVE: Statement Faeser zur China-Spionage;23.04.2024 15:00;142;343;69;49,0;0;0;296;3;7;4;0;;;;;;;;;;;;1000,0;;;20;0;0;0;7;0;9371;1,9;Live;7;
IT_ENqmbbfc;In Basel gibt es aktuell Kunst den Henri Matisse zu bewundern. | #ntv #kunst #matisse;27.10.2024 13:00;59;220;29;49,51;0;0;453;8;1;3;0;;;;;;;;;;;;;;;74;0;0;0;1;1355;11445;7,7;Nachrichten;6;
WPSATY3-AKs;Wird Vision Pro das neue iPhone? Tim Cook will aus dem Schatten von Steve Jobs treten | ntv;12.07.2024 07:42;165;1384;84;50,94;0;0;988;9;2;11;8;;;;235,0;;279,0;;263,0;;223,0;;;;;337;10;0;0;2;0;18838;2,68;Sonstiges;6;
jFdZGlA96AY;"""Erstes Halbjahr wird an der Börse etwas ruppiger"": Experte Richter über Zinsen und Welthandel | ntv";04.01.2024 12:12;198;996;100;0,0;1;0;592;8;0;3;2;;;;;;;;;1000,0;;;;;;134;3;0;0;0;0;24225;1,65;Wirtschaft;6;
FjG8shROrDE;Das verschenken die Deutschen am häufigsten - Weihnachtszeit steht vor der Tür  | ntv;28.11.2024 08:18;109;305;55;51,29;1;0;328;2;0;6;4;;;;;;;;;;;;;;;33;2;1;0;0;0;9875;1,8;Sonstiges;7;
q2MO-6b4D14;Wie Wasserbüffel Deutschlands Artenvielfalt sichern - Tierischer Natur- und Klimaschutz | ntv;27.05.2024 13:26;177;1335;91;51,43;1;0;880;34;1;17;7;;;;;;;;;;370,0;137,0;493,0;;;121;9;0;0;1;0;26797;1,87;Sonstiges;6;
a8YX1tAeurY;Valencia: Mehrere Tote nach Hochhausbrand | #ntv #shorts #nachrichten #valencia #brand #hochhaus;23.02.2024 11:24;60;1342;31;51,68;0;0;2597;23;7;17;0;;;;55,0;11,0;91,0;21,0;116,0;85,0;210,0;137,0;273,0;;;262;0;0;0;7;5400;14356;5,06;Sonstiges;6;
iWiVAyI7TF4;Ewigkeits-Chemie im Gemüse: PFAS-Pestizide auf dem Vormarsch | ntv;11.04.2024 10:48;152;728;79;52,22;2;0;551;14;1;29;4;;;;;;327,0;;;;262,0;103,0;308,0;;;63;1;0;0;1;0;12117;2,78;Sonstiges;8;
7peAFQOuiCw;800.000 Ostereier von einem Hühnerhof - Preise sind dieses Jahr stabil| ntv;27.03.2024 12:45;106;671;57;54,3;0;1;700;7;1;9;7;;;;;;298,0;;250,0;;231,0;;221,0;;;106;3;0;0;1;0;18655;2,27;Sonstiges;7;
i9oWRCbYrfI;"""Mittrinken am Überleben vieler Brauereien"" - Bierdurst der Deutschen sinkt bedrohlich | ntv";23.04.2024 07:48;103;534;56;54,38;0;0;573;8;4;13;11;;;;;;385,0;;260,0;;356,0;;;;;36;4;0;0;4;0;13526;2,91;Sonstiges;6;
X2ehOCLPHik;Bettwanzen in Paris - eine russische Desinformationskampagne? | #ntv #shorts;10.04.2024 10:29;52;397;27;54,66;0;0;856;13;4;9;0;;;;;;;;;;;;1000,0;;;235;0;0;0;4;2164;5104;2,12;Sonstiges;7;
w7CcnfuXWno;"""Jeder, der arbeiten kann, muss das auch tun"" - SPD-Fraktionsvize Verena Hubertz | ntv #shorts";23.04.2024 10:42;59;364;32;55,15;0;0;672;11;4;3;6;;;;;;164,0;;;;344,0;149,0;344,0;;;41;0;0;0;4;1832;5078;1,61;Sonstiges;6;
AXVXJTblnJM;Spaß bei der Arbeit? Ärger über Vorgesetzte ist für große Mehrheit Realität | ntv;14.03.2024 12:07;95;1039;57;60,27;3;0;1089;14;0;17;5;;108,0;;519,0;;269,0;;104,0;;;;;;;232;1;0;0;0;0;25055;2,43;Politik;7;
Xbfm3TRVa68;Müll am Mount Everest: Wer runterträgt, wird belohnt | #ntv;12.06.2024 13:23;111;951;70;63,43;0;0;811;7;0;3;8;;;;;;425,0;;275,0;;;;300,0;;;145;21;0;0;0;0;21413;2,25;Sonstiges;8;
CoHR23PWsqg;Sommerurlaub 2025 - wann ist bester Buchungszeitpunkt? - Tipps vom Reiseexperten  | ntv;11.10.2024 07:54;81;560;51;63,53;0;0;654;9;1;15;2;;;;;;256,0;;279,0;;202,0;;264,0;;;63;5;0;0;1;0;17182;2,61;Sonstiges;7;
rfyvLgdEi48;Fühlt ihr Leere nach der EM? Dann schaut euch doch unsere #dokus an. #ntv #shorts #tvtipp;15.07.2024 18:00;41;292;27;66,99;2;0;638;8;2;0;6;;;;;;167,0;;;;437,0;95,0;302,0;;;24;0;0;0;2;1566;11389;1,34;Sonstiges;7;
E9rPR9-7pFY;Tapfere Schneiderin schlägt Räuber mit Stock in die Flucht - Bremer Polizei fahndet nach Täter | ntv;17.04.2024 08:18;69;579;46;67,53;3;0;746;25;0;9;15;;;;;;;;;;366,0;146,0;488,0;;;91;0;0;0;0;0;20605;2,31;Sonstiges;6;
jDauRsN_Ixs;LIVE: Pressekonferenz Unicef und Ministerin Schulze zur Lage der Kinder in der Ukraine;23.02.2024 11:31;1656;808;123;74,7;0;0;392;3;1;1;0;;;;;;;;;;528,0;;472,0;;;28;0;0;0;1;0;21845;1,25;Live;8;
